          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        86.8415,      0.0461806,       0.092571,      0.0133093,      0.0266791,     -0.0698131,     -0.0694647,      0.0266826
        86.7682,       0.036205,      0.0918735,       0.010452,      0.0265228,     -0.0698131,     -0.0695395,       0.026525
        86.6802,      0.0461806,       0.092571,      0.0133589,      0.0267785,     -0.0698131,     -0.0694634,       0.026782
        86.6509,      0.0461806,       0.092571,      0.0133679,      0.0267966,     -0.0698131,     -0.0694632,      0.0268002
        86.5335,      0.0461806,       0.092571,      0.0134042,      0.0268693,     -0.0698131,     -0.0694622,      0.0268729
        86.4455,      0.0461806,       0.092571,      0.0134315,      0.0269241,     -0.0698131,     -0.0694615,      0.0269277
        86.3575,      0.0458767,      0.0924531,      0.0133703,      0.0269446,     -0.0663225,     -0.0659725,      0.0269482
        86.3722,      0.0466407,       0.112237,      0.0135884,      0.0326993,     -0.0610865,     -0.0607308,      0.0327029
        86.3869,      0.0470464,       0.122161,      0.0137019,      0.0355785,     -0.0593412,     -0.0589825,      0.0355823
        86.3429,      0.0497196,       0.172021,      0.0144952,      0.0501509,     -0.0575958,     -0.0572164,      0.0501551
        86.5042,      0.0507572,        0.20187,      0.0147426,      0.0586339,     -0.0541052,     -0.0537192,      0.0586383
        86.6362,      0.0514591,       0.221792,      0.0149009,       0.064224,     -0.0523599,     -0.0519698,      0.0642285
        86.6949,      0.0525058,       0.241765,      0.0151835,      0.0699128,     -0.0523599,     -0.0519624,      0.0699174
        86.7389,      0.0525058,       0.241765,      0.0151681,      0.0698419,     -0.0523599,     -0.0519628,      0.0698465
        86.8709,      0.0525058,       0.241765,       0.015122,      0.0696298,     -0.0523599,      -0.051964,      0.0696343
        86.9149,      0.0519824,       0.231778,      0.0149561,      0.0666861,     -0.0523599,     -0.0519683,      0.0666905
        86.8562,      0.0519824,       0.231778,      0.0149763,      0.0667762,     -0.0523599,     -0.0519678,      0.0667807
        86.7535,      0.0515851,       0.231729,      0.0148971,      0.0669202,     -0.0506145,     -0.0502245,      0.0669246
        86.6802,      0.0507901,       0.231629,      0.0146923,      0.0670044,     -0.0471239,     -0.0467392,      0.0670088
        86.6215,      0.0508459,       0.241567,      0.0147284,      0.0699741,     -0.0453785,      -0.044993,      0.0699784
        86.5042,      0.0504338,       0.251456,      0.0146487,      0.0730361,     -0.0418879,     -0.0415044,      0.0730404
        86.4015,      0.0491341,       0.251298,      0.0143051,      0.0731638,     -0.0366519,     -0.0362774,      0.0731679
        86.3722,      0.0491341,       0.251298,      0.0143148,      0.0732135,     -0.0366519,     -0.0362771,      0.0732176
        86.4309,      0.0476683,       0.211325,      0.0138689,      0.0614842,     -0.0366519,     -0.0362888,       0.061488
        86.3282,      0.0443704,       0.121385,      0.0129401,      0.0354006,     -0.0366519,     -0.0363131,       0.035404
        86.3429,      0.0440039,       0.111392,      0.0128289,      0.0324752,     -0.0366519,      -0.036316,      0.0324784
        86.3135,      0.0440039,       0.111392,      0.0128376,      0.0324972,     -0.0366519,     -0.0363158,      0.0325005
        86.3722,      0.0438146,       0.111329,       0.012765,      0.0324348,     -0.0349066,     -0.0345724,       0.032438
        86.4015,      0.0434354,       0.111202,       0.012646,      0.0323758,     -0.0314159,     -0.0310848,       0.032379
        86.4895,      0.0436142,       0.131066,      0.0126722,      0.0380815,     -0.0279253,     -0.0275935,      0.0380847
        86.5775,      0.0438972,        0.16093,      0.0127285,      0.0466634,     -0.0244346,     -0.0241014,      0.0466666
        86.5775,      0.0443003,       0.190859,      0.0128454,      0.0553416,     -0.0226893,      -0.022353,      0.0553449
        86.6802,      0.0434844,       0.200668,      0.0125789,      0.0580481,     -0.0174533,      -0.017124,      0.0580513
        86.7389,      0.0431365,       0.200604,      0.0124614,      0.0579511,      -0.015708,     -0.0153817,      0.0579542
        86.8415,      0.0529782,       0.190762,      0.0152684,      0.0549778,      -0.015708,     -0.0153082,      0.0549825
        86.8855,      0.0523499,       0.150767,       0.015072,      0.0434072,      -0.015708,     -0.0153134,      0.0434117
        86.9002,      0.0520358,       0.130769,      0.0149765,       0.037637,      -0.015708,     -0.0153159,      0.0376415
        86.9442,      0.0520358,       0.130769,      0.0149614,      0.0375989,      -0.015708,     -0.0153163,      0.0376034
        86.9882,      0.0515845,       0.130601,      0.0148166,      0.0375126,     -0.0122173,     -0.0118294,       0.037517
        87.0029,      0.0509063,       0.130346,      0.0146169,      0.0374266,    -0.00698131,    -0.00659864,      0.0374309
        87.0762,      0.0607846,       0.150312,      0.0174239,      0.0430869,    -0.00523599,    -0.00477983,       0.043093
        87.0175,           0.07,           0.14,      0.0200926,      0.0401851,              0,    0.000526022,      0.0401932
        87.1202,      0.0794759,        0.14972,      0.0227588,      0.0428738,     0.00349066,     0.00408648,      0.0428842
        87.1789,      0.0795108,        0.13972,      0.0227381,      0.0399564,     0.00349066,     0.00408594,      0.0399667
        87.1202,      0.0892657,       0.139527,      0.0255622,       0.039955,     0.00523599,      0.0059052,       0.039968
