Date:	9/24/2020
Time:	2:36 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:35:50.630  	1.511	24.31	16.0	0.03	-0.04	0.05	-0.071	Normal	
20200924 14:35:50.732  	1.473	24.00	16.0	0.03	-0.04	0.05	-0.071	Normal	
20200924 14:35:50.834  	1.449	23.81	16.0	0.03	-0.03	0.05	-0.072	Normal	
20200924 14:35:50.936  	1.422	23.59	16.0	0.03	-0.02	0.05	-0.071	Normal	
20200924 14:35:51.037  	1.397	23.38	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:51.138  	1.369	23.14	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:51.239  	1.342	22.91	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:51.341  	1.319	22.72	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:51.472  	1.291	22.47	16.0	0.03	-0.01	0.05	-0.071	Normal	
20200924 14:35:51.571  	1.262	22.22	16.0	0.03	-0.01	0.05	-0.071	Normal	
20200924 14:35:51.703  	1.226	21.90	16.0	0.03	0.00	0.05	-0.071	Normal	
20200924 14:35:51.804  	1.202	21.68	16.0	0.03	0.00	0.05	-0.071	Normal	
20200924 14:35:51.905  	1.181	21.49	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:52.038  	1.153	21.24	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:52.139  	1.132	21.04	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:52.240  	1.115	20.88	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:52.372  	1.103	20.77	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:52.502  	1.100	20.74	16.0	0.03	0.01	0.04	-0.072	Normal	
20200924 14:35:52.634  	1.108	20.82	16.0	0.03	0.01	0.04	-0.072	Normal	
20200924 14:35:52.736  	1.123	20.96	16.0	0.03	0.01	0.04	-0.072	Normal	
20200924 14:35:52.837  	1.143	21.14	16.0	0.03	0.01	0.04	-0.072	Normal	
20200924 14:35:52.938  	1.165	21.35	16.0	0.03	0.01	0.04	-0.071	Normal	
20200924 14:35:53.038  	1.194	21.61	16.0	0.03	0.01	0.04	-0.071	Normal	
20200924 14:35:53.170  	1.236	21.99	16.0	0.03	0.01	0.04	-0.071	Normal	
20200924 14:35:53.271  	1.270	22.29	16.0	0.03	0.01	0.04	-0.071	Normal	
20200924 14:35:53.372  	1.301	22.55	16.0	0.03	0.01	0.04	-0.071	Normal	
20200924 14:35:53.473  	1.333	22.83	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:53.572  	1.370	23.15	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:53.673  	1.399	23.39	16.0	0.03	0.00	0.04	-0.071	Normal	
20200924 14:35:53.774  	1.428	23.64	16.0	0.03	-0.00	0.05	-0.071	Normal	
20200924 14:35:53.872  	1.461	23.90	16.0	0.03	-0.00	0.05	-0.071	Normal	
20200924 14:35:53.973  	1.491	24.15	16.0	0.03	-0.01	0.05	-0.071	Normal	
20200924 14:35:54.105  	1.543	24.57	16.0	0.03	-0.01	0.05	-0.071	Normal	
20200924 14:35:54.206  	1.579	24.85	16.0	0.03	-0.01	0.05	-0.071	Normal	
20200924 14:35:54.308  	1.613	25.12	16.0	0.03	-0.01	0.05	-0.071	Normal	
20200924 14:35:54.438  	1.674	25.59	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:54.538  	1.721	25.95	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:54.637  	1.770	26.31	16.0	0.03	-0.02	0.04	-0.071	Normal	
20200924 14:35:54.738  	1.814	26.64	16.0	0.03	-0.03	0.04	-0.071	Normal	
20200924 14:35:54.839  	1.861	26.98	16.0	0.03	-0.03	0.04	-0.071	Normal	
20200924 14:35:54.940  	1.907	27.31	16.0	0.03	-0.03	0.04	-0.071	Normal	
20200924 14:35:55.041  	1.948	27.60	16.0	0.03	-0.04	0.04	-0.071	Normal	
20200924 14:35:55.141  	1.983	27.85	16.0	0.03	-0.04	0.04	-0.072	Normal	
20200924 14:35:55.271  	2.048	28.30	16.0	0.03	-0.04	0.04	-0.072	Normal	
20200924 14:35:55.372  	2.090	28.59	16.0	0.03	-0.05	0.04	-0.072	Normal	
20200924 14:35:55.474  	2.133	28.89	16.0	0.03	-0.05	0.04	-0.072	Normal	
20200924 14:35:55.572  	2.183	29.22	15.9	0.03	-0.06	0.04	-0.072	Normal	
20200924 14:35:55.674  	2.230	29.54	15.9	0.03	-0.06	0.04	-0.072	Normal	
20200924 14:35:55.776  	2.277	29.84	16.0	0.03	-0.07	0.04	-0.072	Normal	
20200924 14:35:55.876  	2.322	30.14	16.0	0.03	-0.07	0.04	-0.072	Normal	
20200924 14:35:56.007  	2.386	30.55	16.0	0.03	-0.08	0.04	-0.072	Normal	
20200924 14:35:56.105  	2.442	30.90	15.9	0.03	-0.08	0.04	-0.072	Normal	
20200924 14:35:56.205  	2.491	31.22	16.0	0.03	-0.09	0.04	-0.072	Normal	
20200924 14:35:56.337  	2.574	31.73	16.0	0.03	-0.10	0.04	-0.072	Normal	
20200924 14:35:56.438  	2.633	32.09	16.0	0.03	-0.10	0.04	-0.072	Normal	
20200924 14:35:56.538  	2.685	32.41	16.0	0.03	-0.11	0.04	-0.071	Normal	
20200924 14:35:56.638  	2.742	32.75	16.0	0.03	-0.11	0.04	-0.071	Normal	
20200924 14:35:56.771  	2.808	33.14	16.0	0.03	-0.11	0.04	-0.071	Normal	
20200924 14:35:56.872  	2.860	33.45	16.0	0.03	-0.12	0.04	-0.071	Normal	
20200924 14:35:57.003  	2.931	33.86	16.0	0.03	-0.13	0.04	-0.072	Normal	
20200924 14:35:57.104  	2.982	34.15	16.0	0.03	-0.13	0.04	-0.071	Normal	
20200924 14:35:57.204  	3.042	34.50	16.0	0.03	-0.13	0.04	-0.072	Normal	
20200924 14:35:57.306  	3.099	34.81	16.0	0.03	-0.14	0.04	-0.072	Normal	
20200924 14:35:57.404  	3.153	35.12	15.9	0.03	-0.14	0.04	-0.071	Normal	
20200924 14:35:57.505  	3.221	35.50	15.9	0.03	-0.15	0.04	-0.071	Normal	
20200924 14:35:57.637  	3.304	35.95	15.9	0.03	-0.15	0.04	-0.071	Normal	
20200924 14:35:57.739  	3.376	36.34	15.9	0.03	-0.16	0.04	-0.071	Normal	
20200924 14:35:57.840  	3.439	36.67	15.9	0.03	-0.16	0.04	-0.071	Normal	
20200924 14:35:57.971  	3.528	37.15	15.9	0.03	-0.17	0.04	-0.071	Normal	
20200924 14:35:58.074  	3.592	37.48	16.0	0.03	-0.18	0.04	-0.071	Normal	
20200924 14:35:58.173  	3.638	37.72	15.9	0.04	-0.19	0.05	-0.072	Normal	
20200924 14:35:58.274  	3.695	38.02	15.9	0.04	-0.19	0.05	-0.072	Normal	
20200924 14:35:58.405  	3.766	38.38	15.9	0.04	-0.20	0.04	-0.072	Normal	
20200924 14:35:58.506  	3.837	38.74	15.9	0.04	-0.20	0.05	-0.072	Normal	
20200924 14:35:58.639  	3.933	39.22	15.9	0.04	-0.21	0.05	-0.072	Normal	
20200924 14:35:58.771  	4.040	39.75	15.9	0.04	-0.22	0.04	-0.072	Normal	
20200924 14:35:58.872  	4.124	40.16	15.9	0.04	-0.22	0.04	-0.071	Normal	
20200924 14:35:59.002  	4.213	40.59	15.9	0.04	-0.23	0.05	-0.071	Normal	
20200924 14:35:59.103  	4.282	40.93	15.9	0.04	-0.24	0.05	-0.071	Normal	
20200924 14:35:59.204  	4.366	41.33	16.0	0.05	-0.24	0.05	-0.071	Normal	
20200924 14:35:59.306  	4.419	41.58	16.0	0.04	-0.25	0.05	-0.071	Normal	
20200924 14:35:59.438  	4.520	42.05	16.0	0.05	-0.26	0.05	-0.071	Normal	
20200924 14:35:59.538  	4.586	42.35	16.0	0.05	-0.26	0.06	-0.071	Normal	
20200924 14:35:59.639  	4.671	42.74	16.0	0.04	-0.28	0.05	-0.071	Normal	
20200924 14:35:59.740  	4.745	43.08	16.0	0.05	-0.28	0.05	-0.071	Normal	
20200924 14:35:59.872  	4.826	43.45	16.0	0.05	-0.29	0.06	-0.071	Normal	
20200924 14:36:00.004  	4.951	44.01	16.0	0.05	-0.30	0.06	-0.071	Normal	
20200924 14:36:00.105  	5.022	44.32	16.0	0.05	-0.30	0.06	-0.071	Normal	
20200924 14:36:00.206  	5.102	44.67	16.0	0.06	-0.31	0.06	-0.072	Normal	
