Date:	9/24/2020
Time:	2:15 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:14:12.628  	21.007	90.65	-4.1	0.02	-0.16	0.03	-0.018	Normal	
20200924 14:14:12.664  	21.007	90.65	-4.1	0.02	-0.16	0.03	-0.018	Normal	
20200924 14:14:12.700  	21.001	90.63	-4.1	0.02	-0.16	0.03	-0.017	Normal	
20200924 14:14:12.732  	20.970	90.57	-4.1	0.02	-0.15	0.03	-0.017	Normal	
20200924 14:14:12.764  	20.959	90.54	-4.1	0.02	-0.15	0.03	-0.017	Normal	
20200924 14:14:12.796  	20.961	90.55	-4.1	0.02	-0.15	0.03	-0.017	Normal	
20200924 14:14:12.830  	20.915	90.45	-4.1	0.02	-0.15	0.03	-0.017	Normal	
20200924 14:14:12.863  	20.908	90.43	-4.1	0.02	-0.14	0.03	-0.017	Normal	
20200924 14:14:12.897  	20.882	90.38	-4.1	0.02	-0.14	0.03	-0.017	Normal	
20200924 14:14:12.931  	20.906	90.43	-4.1	0.02	-0.14	0.03	-0.017	Normal	
20200924 14:14:18.015  	21.111	90.87	-2.1	0.03	0.95	0.03	-0.016	Normal	
20200924 14:14:18.048  	21.107	90.86	-2.1	0.03	0.94	0.03	-0.016	Normal	
20200924 14:14:18.083  	21.088	90.82	-2.1	0.03	0.94	0.03	-0.016	Normal	
20200924 14:14:18.116  	21.072	90.79	-2.1	0.03	0.93	0.03	-0.016	Normal	
20200924 14:14:18.148  	21.042	90.72	-2.1	0.03	0.89	0.03	-0.016	Normal	
20200924 14:14:18.180  	21.012	90.66	-2.1	0.03	0.89	0.03	-0.016	Normal	
20200924 14:14:18.212  	20.975	90.58	-2.1	0.03	0.88	0.03	-0.016	Normal	
20200924 14:14:18.247  	20.938	90.50	-2.1	0.03	0.85	0.03	-0.016	Normal	
20200924 14:14:18.280  	20.906	90.43	-2.1	0.03	0.82	0.03	-0.016	Normal	
20200924 14:14:18.314  	20.864	90.34	-2.1	0.03	0.81	0.03	-0.016	Normal	
20200924 14:14:22.355  	20.647	89.87	0.2	0.20	0.81	0.19	-0.017	Normal	
20200924 14:14:22.389  	20.637	89.84	0.2	0.20	0.80	0.18	-0.017	Normal	
20200924 14:14:22.423  	20.668	89.91	0.2	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.457  	20.698	89.98	0.2	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.490  	20.742	90.07	0.2	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.523  	20.765	90.12	0.2	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.556  	20.823	90.25	0.2	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.588  	20.827	90.26	0.1	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.622  	20.838	90.28	0.1	0.20	0.79	0.18	-0.017	Normal	
20200924 14:14:22.654  	20.819	90.24	0.1	0.20	0.79	0.18	-0.017	Normal	
