Date:	9/24/2020
Time:	2:35 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:35:14.703  	0.416	12.76	14.0	0.03	0.05	0.05	-0.072	Normal	
20200924 14:35:14.805  	0.410	12.67	14.0	0.03	0.05	0.05	-0.072	Normal	
20200924 14:35:14.907  	0.412	12.69	14.0	0.03	0.05	0.04	-0.072	Normal	
20200924 14:35:15.010  	0.414	12.72	14.0	0.03	0.05	0.04	-0.071	Normal	
20200924 14:35:15.141  	0.414	12.73	14.0	0.03	0.06	0.04	-0.071	Normal	
20200924 14:35:15.272  	0.414	12.72	14.0	0.03	0.06	0.04	-0.071	Normal	
20200924 14:35:15.374  	0.419	12.80	14.0	0.03	0.06	0.04	-0.070	Normal	
20200924 14:35:15.475  	0.421	12.83	14.0	0.03	0.06	0.04	-0.070	Normal	
20200924 14:35:15.575  	0.419	12.80	14.0	0.03	0.06	0.04	-0.070	Normal	
20200924 14:35:15.677  	0.415	12.74	14.0	0.03	0.06	0.04	-0.070	Normal	
20200924 14:35:15.809  	0.411	12.69	14.0	0.03	0.06	0.04	-0.070	Normal	
20200924 14:35:15.911  	0.412	12.70	14.0	0.03	0.06	0.04	-0.069	Normal	
20200924 14:35:16.012  	0.408	12.63	14.0	0.03	0.06	0.04	-0.069	Normal	
20200924 14:35:16.115  	0.402	12.53	14.0	0.03	0.06	0.04	-0.069	Normal	
20200924 14:35:16.216  	0.389	12.34	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:16.318  	0.378	12.16	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:16.418  	0.369	12.02	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:16.518  	0.362	11.89	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:16.621  	0.358	11.83	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:16.723  	0.362	11.89	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:16.823  	0.374	12.09	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:16.955  	0.395	12.43	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:17.057  	0.411	12.68	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:17.189  	0.432	13.00	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:17.322  	0.450	13.27	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:17.421  	0.456	13.36	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:17.523  	0.470	13.56	14.0	0.03	0.06	0.05	-0.070	Normal	
20200924 14:35:17.655  	0.493	13.89	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:17.755  	0.510	14.12	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:17.856  	0.535	14.47	14.0	0.03	0.06	0.05	-0.071	Normal	
20200924 14:35:17.958  	0.561	14.82	14.0	0.03	0.05	0.05	-0.071	Normal	
20200924 14:35:18.059  	0.592	15.22	14.0	0.03	0.05	0.05	-0.070	Normal	
20200924 14:35:18.192  	0.628	15.67	14.0	0.03	0.05	0.05	-0.070	Normal	
20200924 14:35:18.324  	0.667	16.15	14.0	0.03	0.05	0.04	-0.070	Normal	
20200924 14:35:18.457  	0.706	16.61	14.0	0.03	0.05	0.04	-0.070	Normal	
20200924 14:35:18.588  	0.735	16.95	14.0	0.03	0.04	0.05	-0.070	Normal	
20200924 14:35:18.688  	0.757	17.21	14.0	0.03	0.04	0.05	-0.070	Normal	
20200924 14:35:18.789  	0.784	17.51	14.0	0.03	0.04	0.05	-0.070	Normal	
20200924 14:35:18.891  	0.813	17.83	14.0	0.03	0.04	0.05	-0.070	Normal	
20200924 14:35:18.992  	0.843	18.16	14.0	0.03	0.04	0.05	-0.070	Normal	
20200924 14:35:19.092  	0.874	18.49	14.0	0.03	0.03	0.04	-0.070	Normal	
20200924 14:35:19.192  	0.909	18.86	14.0	0.03	0.03	0.04	-0.070	Normal	
20200924 14:35:19.323  	0.957	19.35	14.0	0.03	0.03	0.04	-0.070	Normal	
