Date:	9/24/2020
Time:	2:13 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:12:58.550  	12.175	69.01	8.1	0.62	0.84	0.58	-0.012	Normal	
20200924 14:12:58.581  	12.193	69.06	8.1	0.62	0.83	0.58	-0.012	Normal	
20200924 14:12:58.614  	12.217	69.13	8.1	0.62	0.83	0.59	-0.012	Normal	
20200924 14:12:58.648  	12.213	69.12	8.1	0.62	0.83	0.59	-0.012	Normal	
20200924 14:12:58.681  	12.215	69.12	8.1	0.62	0.82	0.59	-0.012	Normal	
20200924 14:12:58.714  	12.229	69.16	8.1	0.62	0.82	0.59	-0.012	Normal	
20200924 14:13:02.380  	11.817	67.99	9.9	0.68	0.34	0.65	-0.012	Normal	
20200924 14:13:02.414  	11.847	68.07	9.9	0.68	0.35	0.65	-0.012	Normal	
20200924 14:13:02.449  	11.854	68.09	9.9	0.68	0.35	0.65	-0.012	Normal	
20200924 14:13:02.482  	11.886	68.18	9.9	0.68	0.36	0.65	-0.012	Normal	
20200924 14:13:02.514  	11.941	68.34	9.9	0.68	0.36	0.66	-0.012	Normal	
20200924 14:13:02.548  	11.942	68.35	9.9	0.68	0.36	0.66	-0.012	Normal	
20200924 14:13:02.581  	11.972	68.43	9.9	0.68	0.36	0.66	-0.012	Normal	
20200924 14:13:02.613  	12.001	68.51	10.0	0.68	0.36	0.66	-0.012	Normal	
20200924 14:13:02.646  	12.019	68.57	10.0	0.69	0.36	0.66	-0.012	Normal	
20200924 14:13:02.680  	12.060	68.68	10.0	0.69	0.36	0.66	-0.012	Normal	
20200924 14:13:08.967  	11.887	68.19	12.1	0.63	0.26	0.58	-0.013	Normal	
20200924 14:13:09.000  	11.894	68.21	12.1	0.63	0.26	0.58	-0.013	Normal	
20200924 14:13:09.036  	11.906	68.24	12.1	0.63	0.29	0.59	-0.013	Normal	
20200924 14:13:09.069  	11.919	68.28	12.1	0.63	0.30	0.59	-0.013	Normal	
