Date:	9/24/2020
Time:	2:34 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:33:54.605  	0.503	14.03	10.1	0.03	0.04	0.04	-0.067	Normal	
20200924 14:33:54.709  	0.497	13.94	10.1	0.03	0.04	0.04	-0.067	Normal	
20200924 14:33:54.809  	0.490	13.85	10.1	0.04	0.04	0.04	-0.066	Normal	
20200924 14:33:54.910  	0.481	13.72	10.1	0.03	0.04	0.04	-0.067	Normal	
20200924 14:33:55.044  	0.468	13.53	10.1	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:55.146  	0.454	13.32	10.1	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:55.248  	0.438	13.10	10.1	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:55.348  	0.424	12.88	10.1	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:55.451  	0.411	12.68	10.1	0.04	0.04	0.05	-0.068	Normal	
20200924 14:33:55.553  	0.406	12.61	10.1	0.04	0.05	0.05	-0.068	Normal	
20200924 14:33:55.655  	0.409	12.65	10.1	0.03	0.05	0.05	-0.067	Normal	
20200924 14:33:55.756  	0.409	12.66	10.1	0.03	0.05	0.05	-0.067	Normal	
20200924 14:33:55.859  	0.415	12.74	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:55.988  	0.425	12.89	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.120  	0.432	13.00	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.219  	0.428	12.94	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.319  	0.421	12.83	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.451  	0.415	12.73	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.554  	0.413	12.71	10.1	0.03	0.05	0.04	-0.068	Normal	
20200924 14:33:56.657  	0.417	12.77	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.789  	0.425	12.90	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:56.889  	0.440	13.11	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:57.021  	0.460	13.41	10.1	0.03	0.05	0.04	-0.067	Normal	
20200924 14:33:57.121  	0.479	13.69	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:57.223  	0.497	13.94	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:57.356  	0.517	14.22	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:57.456  	0.535	14.46	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:57.555  	0.553	14.70	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:57.656  	0.572	14.96	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:57.756  	0.593	15.23	10.1	0.03	0.06	0.04	-0.066	Normal	
20200924 14:33:57.888  	0.622	15.60	10.1	0.03	0.06	0.04	-0.066	Normal	
20200924 14:33:57.988  	0.647	15.91	10.1	0.03	0.06	0.04	-0.066	Normal	
20200924 14:33:58.089  	0.671	16.21	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:58.188  	0.696	16.50	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:58.288  	0.722	16.80	10.1	0.04	0.05	0.04	-0.066	Normal	
20200924 14:33:58.389  	0.750	17.12	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:58.490  	0.776	17.42	10.1	0.03	0.05	0.04	-0.066	Normal	
20200924 14:33:58.621  	0.814	17.84	10.1	0.03	0.04	0.04	-0.066	Normal	
20200924 14:33:58.721  	0.843	18.16	10.1	0.03	0.03	0.04	-0.066	Normal	
20200924 14:33:58.823  	0.872	18.47	10.1	0.03	0.03	0.04	-0.066	Normal	
20200924 14:33:58.923  	0.902	18.79	10.1	0.03	0.03	0.04	-0.066	Normal	
20200924 14:33:59.022  	0.935	19.12	10.1	0.03	0.03	0.04	-0.066	Normal	
20200924 14:33:59.123  	0.966	19.44	10.1	0.03	0.02	0.04	-0.066	Normal	
20200924 14:33:59.256  	1.010	19.88	10.1	0.03	0.02	0.04	-0.066	Normal	
20200924 14:33:59.357  	1.042	20.19	10.1	0.03	0.02	0.04	-0.067	Normal	
20200924 14:33:59.456  	1.076	20.52	10.1	0.03	0.02	0.04	-0.067	Normal	
20200924 14:33:59.590  	1.116	20.89	10.1	0.03	0.02	0.04	-0.067	Normal	
20200924 14:33:59.690  	1.145	21.17	10.1	0.03	0.02	0.04	-0.067	Normal	
20200924 14:33:59.793  	1.181	21.49	10.1	0.04	0.02	0.04	-0.067	Normal	
20200924 14:33:59.893  	1.212	21.77	10.1	0.04	0.02	0.04	-0.067	Normal	
20200924 14:33:59.992  	1.244	22.06	10.1	0.04	0.01	0.04	-0.068	Normal	
20200924 14:34:00.123  	1.295	22.50	10.1	0.04	0.01	0.04	-0.068	Normal	
20200924 14:34:00.255  	1.349	22.97	10.1	0.04	0.01	0.04	-0.068	Normal	
20200924 14:34:00.388  	1.407	23.46	10.1	0.04	0.01	0.04	-0.068	Normal	
20200924 14:34:00.490  	1.451	23.82	10.1	0.04	0.00	0.04	-0.068	Normal	
20200924 14:34:00.623  	1.509	24.29	10.1	0.04	0.00	0.05	-0.067	Normal	
20200924 14:34:00.724  	1.551	24.63	10.1	0.04	0.00	0.05	-0.067	Normal	
20200924 14:34:00.857  	1.612	25.11	10.1	0.04	-0.01	0.05	-0.067	Normal	
20200924 14:34:00.958  	1.650	25.41	10.1	0.04	-0.01	0.05	-0.067	Normal	
20200924 14:34:01.090  	1.702	25.81	10.1	0.04	-0.01	0.05	-0.068	Normal	
20200924 14:34:01.188  	1.746	26.13	10.1	0.04	-0.01	0.05	-0.067	Normal	
20200924 14:34:01.290  	1.791	26.47	10.1	0.04	-0.01	0.05	-0.067	Normal	
20200924 14:34:01.390  	1.841	26.84	10.1	0.04	-0.01	0.05	-0.067	Normal	
20200924 14:34:01.489  	1.893	27.21	10.1	0.04	-0.02	0.05	-0.067	Normal	
20200924 14:34:01.591  	1.944	27.58	10.1	0.04	-0.02	0.05	-0.067	Normal	
20200924 14:34:01.722  	2.016	28.08	10.1	0.05	-0.02	0.05	-0.067	Normal	
20200924 14:34:01.822  	2.073	28.47	10.1	0.05	-0.02	0.06	-0.067	Normal	
20200924 14:34:01.921  	2.122	28.81	10.1	0.05	-0.03	0.06	-0.067	Normal	
20200924 14:34:02.024  	2.171	29.14	10.1	0.05	-0.03	0.06	-0.067	Normal	
20200924 14:34:02.154  	2.231	29.54	10.1	0.05	-0.03	0.06	-0.067	Normal	
20200924 14:34:02.254  	2.279	29.85	10.1	0.05	-0.04	0.06	-0.067	Normal	
20200924 14:34:02.354  	2.332	30.20	10.1	0.05	-0.04	0.06	-0.067	Normal	
20200924 14:34:02.455  	2.382	30.53	10.1	0.05	-0.04	0.06	-0.067	Normal	
20200924 14:34:02.554  	2.432	30.84	10.1	0.05	-0.04	0.06	-0.067	Normal	
20200924 14:34:02.655  	2.488	31.20	10.1	0.05	-0.04	0.06	-0.067	Normal	
20200924 14:34:02.788  	2.570	31.71	10.1	0.06	-0.05	0.06	-0.067	Normal	
20200924 14:34:02.920  	2.647	32.18	10.1	0.06	-0.05	0.07	-0.067	Normal	
20200924 14:34:03.051  	2.716	32.60	10.1	0.06	-0.05	0.06	-0.067	Normal	
20200924 14:34:03.181  	2.789	33.03	10.1	0.06	-0.06	0.06	-0.067	Normal	
20200924 14:34:03.281  	2.829	33.27	10.1	0.06	-0.06	0.06	-0.068	Normal	
20200924 14:34:03.381  	2.871	33.51	10.1	0.06	-0.07	0.06	-0.068	Normal	
20200924 14:34:03.481  	2.925	33.82	10.1	0.06	-0.07	0.07	-0.069	Normal	
20200924 14:34:03.612  	3.007	34.30	10.1	0.06	-0.07	0.07	-0.070	Normal	
20200924 14:34:03.711  	3.059	34.59	10.1	0.06	-0.08	0.07	-0.070	Normal	
20200924 14:34:03.840  	3.144	35.07	10.1	0.06	-0.08	0.07	-0.070	Normal	
20200924 14:34:03.940  	3.217	35.47	10.1	0.06	-0.08	0.07	-0.069	Normal	
20200924 14:34:04.070  	3.306	35.96	10.1	0.06	-0.09	0.07	-0.069	Normal	
20200924 14:34:04.170  	3.371	36.31	10.1	0.06	-0.09	0.07	-0.068	Normal	
20200924 14:34:04.302  	3.453	36.75	10.1	0.06	-0.10	0.07	-0.068	Normal	
20200924 14:34:04.431  	3.555	37.29	10.1	0.06	-0.10	0.07	-0.068	Normal	
20200924 14:34:04.532  	3.626	37.66	10.1	0.06	-0.10	0.07	-0.068	Normal	
20200924 14:34:04.662  	3.724	38.17	10.1	0.06	-0.11	0.07	-0.069	Normal	
20200924 14:34:04.793  	3.810	38.60	10.1	0.06	-0.11	0.07	-0.069	Normal	
20200924 14:34:04.925  	3.920	39.16	10.1	0.06	-0.11	0.07	-0.070	Normal	
20200924 14:34:05.027  	3.993	39.52	10.1	0.06	-0.12	0.07	-0.070	Normal	
20200924 14:34:05.157  	4.067	39.89	10.1	0.07	-0.12	0.07	-0.070	Normal	
20200924 14:34:05.287  	4.164	40.36	10.1	0.07	-0.13	0.07	-0.069	Normal	
20200924 14:34:05.390  	4.241	40.73	10.1	0.07	-0.13	0.07	-0.069	Normal	
20200924 14:34:05.490  	4.317	41.09	10.1	0.07	-0.14	0.07	-0.069	Normal	
20200924 14:34:05.591  	4.374	41.36	10.1	0.07	-0.14	0.07	-0.069	Normal	
20200924 14:34:05.692  	4.439	41.67	10.1	0.07	-0.14	0.08	-0.069	Normal	
20200924 14:34:05.821  	4.536	42.12	10.1	0.07	-0.14	0.08	-0.068	Normal	
20200924 14:34:05.954  	4.626	42.54	10.1	0.07	-0.15	0.08	-0.068	Normal	
20200924 14:34:06.054  	4.689	42.82	10.1	0.07	-0.15	0.08	-0.068	Normal	
20200924 14:34:06.155  	4.761	43.15	10.1	0.07	-0.16	0.08	-0.068	Normal	
20200924 14:34:06.257  	4.837	43.49	10.1	0.07	-0.16	0.08	-0.068	Normal	
20200924 14:34:06.357  	4.922	43.88	10.1	0.07	-0.16	0.07	-0.068	Normal	
20200924 14:34:06.489  	5.044	44.42	10.1	0.08	-0.17	0.08	-0.068	Normal	
20200924 14:34:06.589  	5.142	44.85	10.1	0.08	-0.18	0.08	-0.068	Normal	
20200924 14:34:06.690  	5.261	45.36	10.1	0.08	-0.18	0.08	-0.068	Normal	
20200924 14:34:06.790  	5.372	45.84	10.1	0.08	-0.18	0.08	-0.068	Normal	
