Date:	9/24/2020
Time:	2:34 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:34:34.321  	1.039	20.16	12.0	0.04	0.00	0.05	-0.071	Normal	
20200924 14:34:34.425  	1.017	19.95	12.0	0.04	0.01	0.05	-0.071	Normal	
20200924 14:34:34.558  	0.986	19.64	12.0	0.04	0.01	0.05	-0.072	Normal	
20200924 14:34:34.656  	0.964	19.42	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:34.759  	0.945	19.23	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:34.892  	0.915	18.92	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:35.024  	0.891	18.67	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:35.126  	0.866	18.41	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:35.224  	0.842	18.15	12.0	0.03	0.02	0.05	-0.072	Normal	
20200924 14:34:35.326  	0.820	17.91	12.0	0.03	0.02	0.05	-0.072	Normal	
20200924 14:34:35.457  	0.789	17.56	12.0	0.03	0.02	0.05	-0.072	Normal	
20200924 14:34:35.589  	0.761	17.25	12.0	0.04	0.02	0.05	-0.072	Normal	
20200924 14:34:35.690  	0.740	17.01	12.0	0.03	0.02	0.05	-0.072	Normal	
20200924 14:34:35.788  	0.719	16.77	12.0	0.04	0.02	0.05	-0.072	Normal	
20200924 14:34:35.889  	0.704	16.59	12.0	0.04	0.02	0.05	-0.071	Normal	
20200924 14:34:35.992  	0.690	16.43	12.0	0.04	0.02	0.05	-0.072	Normal	
20200924 14:34:36.093  	0.686	16.39	12.0	0.04	0.03	0.05	-0.071	Normal	
20200924 14:34:36.227  	0.685	16.37	12.0	0.04	0.03	0.05	-0.071	Normal	
20200924 14:34:36.357  	0.687	16.40	12.0	0.03	0.03	0.05	-0.071	Normal	
20200924 14:34:36.488  	0.693	16.47	12.0	0.03	0.03	0.05	-0.072	Normal	
20200924 14:34:36.621  	0.706	16.62	12.0	0.03	0.03	0.05	-0.072	Normal	
20200924 14:34:36.723  	0.717	16.74	12.0	0.03	0.03	0.05	-0.072	Normal	
20200924 14:34:36.855  	0.732	16.92	12.0	0.04	0.03	0.05	-0.072	Normal	
20200924 14:34:36.954  	0.747	17.10	12.0	0.04	0.03	0.05	-0.072	Normal	
20200924 14:34:37.056  	0.767	17.32	12.0	0.04	0.03	0.05	-0.072	Normal	
20200924 14:34:37.188  	0.798	17.67	12.0	0.04	0.03	0.05	-0.072	Normal	
20200924 14:34:37.288  	0.825	17.96	12.0	0.04	0.03	0.05	-0.072	Normal	
20200924 14:34:37.388  	0.851	18.25	12.0	0.04	0.03	0.05	-0.072	Normal	
20200924 14:34:37.521  	0.890	18.66	12.0	0.03	0.02	0.05	-0.072	Normal	
20200924 14:34:37.621  	0.920	18.97	12.0	0.03	0.02	0.05	-0.071	Normal	
20200924 14:34:37.722  	0.949	19.26	12.0	0.03	0.02	0.05	-0.071	Normal	
20200924 14:34:37.825  	0.978	19.56	12.0	0.03	0.02	0.05	-0.071	Normal	
20200924 14:34:37.956  	1.020	19.98	12.0	0.03	0.02	0.05	-0.071	Normal	
20200924 14:34:38.057  	1.048	20.25	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:38.160  	1.080	20.56	12.0	0.03	0.01	0.05	-0.072	Normal	
20200924 14:34:38.261  	1.119	20.92	12.0	0.03	0.01	0.05	-0.071	Normal	
20200924 14:34:38.390  	1.170	21.40	12.0	0.03	0.01	0.05	-0.071	Normal	
20200924 14:34:38.492  	1.208	21.74	12.0	0.03	0.01	0.05	-0.071	Normal	
20200924 14:34:38.590  	1.242	22.04	12.0	0.03	0.01	0.05	-0.071	Normal	
20200924 14:34:38.692  	1.282	22.39	12.0	0.03	0.00	0.05	-0.071	Normal	
20200924 14:34:38.792  	1.322	22.74	12.0	0.03	0.00	0.05	-0.071	Normal	
20200924 14:34:38.894  	1.362	23.08	12.0	0.03	-0.00	0.05	-0.071	Normal	
20200924 14:34:38.996  	1.410	23.48	12.0	0.04	-0.00	0.05	-0.071	Normal	
20200924 14:34:39.126  	1.477	24.04	12.0	0.04	-0.01	0.05	-0.071	Normal	
20200924 14:34:39.257  	1.540	24.54	12.0	0.04	-0.01	0.05	-0.071	Normal	
20200924 14:34:39.357  	1.586	24.91	12.0	0.04	-0.01	0.05	-0.071	Normal	
20200924 14:34:39.487  	1.649	25.40	12.0	0.04	-0.02	0.06	-0.071	Normal	
20200924 14:34:39.589  	1.693	25.74	12.0	0.04	-0.02	0.06	-0.072	Normal	
20200924 14:34:39.690  	1.733	26.04	12.0	0.04	-0.02	0.06	-0.072	Normal	
20200924 14:34:39.791  	1.770	26.31	12.0	0.04	-0.02	0.06	-0.072	Normal	
20200924 14:34:39.891  	1.818	26.67	12.0	0.04	-0.03	0.06	-0.072	Normal	
20200924 14:34:40.021  	1.890	27.19	12.0	0.04	-0.03	0.06	-0.071	Normal	
20200924 14:34:40.121  	1.935	27.51	12.0	0.04	-0.04	0.06	-0.071	Normal	
20200924 14:34:40.219  	1.980	27.83	12.0	0.04	-0.04	0.06	-0.071	Normal	
20200924 14:34:40.321  	2.031	28.19	12.0	0.04	-0.04	0.06	-0.071	Normal	
20200924 14:34:40.454  	2.102	28.68	12.0	0.05	-0.05	0.06	-0.071	Normal	
20200924 14:34:40.556  	2.146	28.97	12.0	0.05	-0.05	0.06	-0.071	Normal	
20200924 14:34:40.657  	2.192	29.28	12.0	0.05	-0.05	0.06	-0.071	Normal	
20200924 14:34:40.759  	2.238	29.59	12.0	0.05	-0.05	0.06	-0.071	Normal	
20200924 14:34:40.889  	2.301	30.00	12.0	0.05	-0.06	0.06	-0.071	Normal	
20200924 14:34:41.020  	2.357	30.37	12.0	0.05	-0.06	0.06	-0.071	Normal	
20200924 14:34:41.121  	2.405	30.67	12.0	0.05	-0.06	0.06	-0.071	Normal	
20200924 14:34:41.254  	2.478	31.13	12.1	0.05	-0.07	0.06	-0.071	Normal	
20200924 14:34:41.355  	2.530	31.46	12.1	0.05	-0.07	0.06	-0.071	Normal	
20200924 14:34:41.455  	2.589	31.82	12.1	0.05	-0.07	0.06	-0.071	Normal	
20200924 14:34:41.588  	2.663	32.28	12.1	0.05	-0.08	0.06	-0.071	Normal	
20200924 14:34:41.690  	2.724	32.64	12.1	0.05	-0.08	0.06	-0.071	Normal	
20200924 14:34:41.789  	2.774	32.94	12.1	0.05	-0.09	0.07	-0.071	Normal	
20200924 14:34:41.889  	2.830	33.27	12.1	0.05	-0.09	0.07	-0.071	Normal	
20200924 14:34:41.991  	2.897	33.66	12.1	0.05	-0.10	0.07	-0.071	Normal	
20200924 14:34:42.122  	2.967	34.06	12.1	0.06	-0.10	0.07	-0.071	Normal	
20200924 14:34:42.254  	3.051	34.55	12.1	0.05	-0.10	0.07	-0.071	Normal	
20200924 14:34:42.355  	3.113	34.90	12.1	0.06	-0.11	0.07	-0.071	Normal	
20200924 14:34:42.456  	3.160	35.16	12.1	0.06	-0.11	0.07	-0.071	Normal	
20200924 14:34:42.588  	3.233	35.56	12.1	0.06	-0.12	0.07	-0.071	Normal	
20200924 14:34:42.687  	3.281	35.83	12.1	0.06	-0.12	0.07	-0.071	Normal	
20200924 14:34:42.818  	3.377	36.34	12.1	0.06	-0.12	0.07	-0.071	Normal	
20200924 14:34:42.918  	3.447	36.72	12.1	0.06	-0.13	0.07	-0.070	Normal	
20200924 14:34:43.017  	3.525	37.13	12.1	0.06	-0.13	0.07	-0.070	Normal	
20200924 14:34:43.150  	3.667	37.87	12.1	0.06	-0.14	0.07	-0.069	Normal	
20200924 14:34:43.283  	3.788	38.49	12.1	0.06	-0.14	0.07	-0.069	Normal	
20200924 14:34:43.385  	3.873	38.92	12.1	0.06	-0.15	0.07	-0.068	Normal	
20200924 14:34:43.485  	3.937	39.24	12.1	0.06	-0.16	0.07	-0.068	Normal	
20200924 14:34:43.588  	4.015	39.63	12.1	0.06	-0.16	0.07	-0.069	Normal	
20200924 14:34:43.689  	4.081	39.96	12.1	0.06	-0.17	0.07	-0.069	Normal	
20200924 14:34:43.789  	4.154	40.31	12.1	0.06	-0.17	0.07	-0.069	Normal	
20200924 14:34:43.922  	4.243	40.74	12.1	0.07	-0.17	0.08	-0.070	Normal	
20200924 14:34:44.056  	4.337	41.19	12.1	0.07	-0.18	0.08	-0.071	Normal	
20200924 14:34:44.155  	4.411	41.54	12.1	0.07	-0.18	0.08	-0.071	Normal	
20200924 14:34:44.257  	4.467	41.80	12.1	0.07	-0.18	0.08	-0.071	Normal	
20200924 14:34:44.358  	4.516	42.03	12.1	0.07	-0.19	0.08	-0.071	Normal	
20200924 14:34:44.458  	4.563	42.25	12.1	0.07	-0.20	0.08	-0.071	Normal	
20200924 14:34:44.559  	4.609	42.46	12.1	0.07	-0.20	0.08	-0.070	Normal	
20200924 14:34:44.661  	4.662	42.70	12.1	0.07	-0.20	0.08	-0.070	Normal	
20200924 14:34:44.762  	4.750	43.10	12.1	0.07	-0.20	0.08	-0.069	Normal	
20200924 14:34:44.864  	4.837	43.49	12.1	0.07	-0.20	0.08	-0.069	Normal	
20200924 14:34:44.965  	4.926	43.90	12.1	0.07	-0.22	0.08	-0.068	Normal	
20200924 14:34:45.066  	5.033	44.37	12.1	0.07	-0.22	0.08	-0.068	Normal	
20200924 14:34:45.196  	5.182	45.02	12.1	0.08	-0.23	0.08	-0.068	Normal	
20200924 14:34:45.327  	5.309	45.57	12.1	0.08	-0.24	0.08	-0.067	Normal	
20200924 14:34:45.457  	5.415	46.02	12.1	0.08	-0.25	0.08	-0.068	Normal	
20200924 14:34:45.589  	5.534	46.52	12.1	0.08	-0.25	0.09	-0.069	Normal	
20200924 14:34:45.691  	5.587	46.75	12.1	0.09	-0.26	0.09	-0.069	Normal	
20200924 14:34:45.823  	5.696	47.20	12.1	0.09	-0.26	0.09	-0.070	Normal	
20200924 14:34:45.956  	5.802	47.64	12.1	0.09	-0.27	0.09	-0.071	Normal	
20200924 14:34:46.088  	5.947	48.23	12.1	0.09	-0.28	0.10	-0.071	Normal	
20200924 14:34:46.191  	6.035	48.59	12.1	0.10	-0.28	0.10	-0.071	Normal	
20200924 14:34:46.322  	6.203	49.26	12.1	0.10	-0.29	0.10	-0.071	Normal	
20200924 14:34:46.424  	6.326	49.74	12.1	0.10	-0.30	0.10	-0.071	Normal	
20200924 14:34:46.556  	6.483	50.36	12.1	0.10	-0.31	0.11	-0.071	Normal	
20200924 14:34:46.655  	6.602	50.82	12.1	0.11	-0.32	0.11	-0.071	Normal	
20200924 14:34:46.787  	6.745	51.36	12.1	0.12	-0.32	0.12	-0.071	Normal	
20200924 14:34:46.889  	6.836	51.71	12.1	0.12	-0.33	0.12	-0.071	Normal	
20200924 14:34:46.989  	6.922	52.03	12.1	0.12	-0.33	0.13	-0.071	Normal	
20200924 14:34:47.089  	7.017	52.39	12.1	0.12	-0.33	0.13	-0.071	Normal	
20200924 14:34:47.222  	7.128	52.80	12.1	0.13	-0.34	0.14	-0.071	Normal	
20200924 14:34:47.323  	7.203	53.08	12.1	0.14	-0.35	0.14	-0.071	Normal	
20200924 14:34:47.454  	7.332	53.55	12.1	0.14	-0.36	0.15	-0.071	Normal	
20200924 14:34:47.554  	7.413	53.85	12.1	0.15	-0.36	0.15	-0.072	Normal	
20200924 14:34:47.654  	7.486	54.11	12.1	0.16	-0.36	0.16	-0.072	Normal	
20200924 14:34:47.755  	7.572	54.42	12.1	0.16	-0.38	0.17	-0.072	Normal	
20200924 14:34:47.887  	7.706	54.90	12.1	0.16	-0.38	0.17	-0.072	Normal	
20200924 14:34:47.989  	7.767	55.12	12.1	0.16	-0.38	0.17	-0.072	Normal	
20200924 14:34:48.121  	7.885	55.54	12.1	0.16	-0.39	0.18	-0.072	Normal	
20200924 14:34:48.223  	8.014	55.99	12.1	0.17	-0.39	0.18	-0.072	Normal	
20200924 14:34:48.323  	8.146	56.45	12.1	0.17	-0.39	0.18	-0.072	Normal	
20200924 14:34:48.423  	8.252	56.81	12.1	0.19	-0.40	0.21	-0.072	Normal	
20200924 14:34:48.525  	8.372	57.22	12.1	0.19	-0.42	0.21	-0.072	Normal	
20200924 14:34:48.626  	8.495	57.64	12.1	0.20	-0.42	0.22	-0.071	Normal	
20200924 14:34:48.757  	8.695	58.32	12.1	0.22	-0.44	0.23	-0.071	Normal	
20200924 14:34:48.858  	8.822	58.74	12.1	0.21	-0.45	0.23	-0.071	Normal	
20200924 14:34:48.959  	8.940	59.13	12.1	0.22	-0.45	0.24	-0.071	Normal	
20200924 14:34:49.060  	9.088	59.62	12.1	0.23	-0.46	0.24	-0.071	Normal	
20200924 14:34:49.192  	9.240	60.12	12.1	0.24	-0.47	0.25	-0.071	Normal	
20200924 14:34:49.324  	9.416	60.69	12.1	0.24	-0.47	0.26	-0.071	Normal	
20200924 14:34:49.425  	9.548	61.11	12.1	0.25	-0.47	0.27	-0.071	Normal	
20200924 14:34:49.526  	9.676	61.52	12.1	0.26	-0.50	0.28	-0.071	Normal	
20200924 14:34:49.628  	9.804	61.92	12.1	0.27	-0.50	0.29	-0.071	Normal	
20200924 14:34:49.728  	9.936	62.34	12.1	0.28	-0.51	0.29	-0.071	Normal	
20200924 14:34:49.860  	10.107	62.87	12.1	0.28	-0.50	0.29	-0.070	Normal	
20200924 14:34:49.990  	10.216	63.21	12.1	0.28	-0.51	0.30	-0.070	Normal	
20200924 14:34:50.121  	10.302	63.48	12.1	0.29	-0.52	0.30	-0.070	Normal	
20200924 14:34:50.222  	10.356	63.64	12.1	0.29	-0.51	0.31	-0.070	Normal	
20200924 14:34:50.322  	10.393	63.76	12.1	0.29	-0.53	0.31	-0.071	Normal	
20200924 14:34:50.423  	10.421	63.84	12.1	0.29	-0.54	0.30	-0.071	Normal	
20200924 14:34:50.527  	10.447	63.92	12.1	0.29	-0.53	0.31	-0.071	Normal	
20200924 14:34:50.658  	10.530	64.18	12.1	0.29	-0.54	0.31	-0.071	Normal	
20200924 14:34:50.790  	10.573	64.31	12.1	0.30	-0.55	0.32	-0.071	Normal	
20200924 14:34:50.890  	10.591	64.36	12.1	0.30	-0.54	0.32	-0.071	Normal	
20200924 14:34:50.992  	10.602	64.40	12.1	0.31	-0.55	0.33	-0.070	Normal	
20200924 14:34:51.094  	10.596	64.38	12.1	0.30	-0.55	0.32	-0.070	Normal	
20200924 14:34:51.193  	10.590	64.36	12.1	0.29	-0.55	0.31	-0.070	Normal	
20200924 14:34:51.325  	10.551	64.24	12.1	0.29	-0.56	0.30	-0.070	Normal	
20200924 14:34:51.426  	10.563	64.28	12.1	0.28	-0.55	0.30	-0.070	Normal	
20200924 14:34:51.527  	10.605	64.40	12.1	0.29	-0.55	0.30	-0.069	Normal	
20200924 14:34:51.629  	10.643	64.52	12.1	0.29	-0.55	0.31	-0.069	Normal	
20200924 14:34:51.730  	10.665	64.59	12.1	0.29	-0.55	0.31	-0.069	Normal	
20200924 14:34:51.832  	10.671	64.61	12.1	0.29	-0.55	0.31	-0.069	Normal	
20200924 14:34:51.934  	10.701	64.70	12.1	0.29	-0.55	0.31	-0.069	Normal	
20200924 14:34:52.037  	10.677	64.62	12.1	0.29	-0.55	0.31	-0.069	Normal	
20200924 14:34:52.168  	10.657	64.56	12.1	0.29	-0.56	0.30	-0.069	Normal	
