Date:	9/24/2020
Time:	2:28 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:27:53.040  	16.546	80.45	3.0	0.07	0.36	0.04	-0.054	Normal	
20200924 14:27:53.140  	16.595	80.57	3.1	0.07	0.34	0.04	-0.054	Normal	
20200924 14:27:53.242  	16.625	80.64	3.3	0.07	0.34	0.04	-0.054	Normal	
20200924 14:27:53.344  	16.611	80.61	3.5	0.07	0.35	0.04	-0.053	Normal	
20200924 14:27:53.475  	16.569	80.50	3.8	0.08	0.36	0.05	-0.053	Normal	
20200924 14:27:53.575  	16.553	80.47	3.8	0.09	0.37	0.05	-0.053	Normal	
20200924 14:27:53.674  	16.516	80.38	3.8	0.09	0.36	0.06	-0.053	Normal	
20200924 14:27:53.807  	16.511	80.36	3.8	0.09	0.33	0.06	-0.053	Normal	
20200924 14:27:53.910  	16.479	80.29	4.0	0.09	0.33	0.06	-0.053	Normal	
20200924 14:27:54.011  	16.411	80.12	4.2	0.10	0.32	0.06	-0.053	Normal	
20200924 14:27:54.142  	16.345	79.96	4.4	0.11	0.32	0.08	-0.053	Normal	
20200924 14:27:54.241  	16.277	79.79	4.7	0.12	0.33	0.08	-0.053	Normal	
20200924 14:27:54.342  	16.273	79.78	4.9	0.13	0.32	0.09	-0.053	Normal	
20200924 14:27:54.443  	16.258	79.74	4.9	0.13	0.31	0.10	-0.053	Normal	
20200924 14:27:54.573  	16.269	79.77	4.9	0.15	0.25	0.11	-0.053	Normal	
20200924 14:27:54.674  	16.301	79.85	4.9	0.15	0.23	0.11	-0.053	Normal	
20200924 14:27:54.774  	16.354	79.98	4.9	0.15	0.20	0.11	-0.053	Normal	
20200924 14:27:54.875  	16.351	79.97	5.0	0.15	0.20	0.11	-0.053	Normal	
