Date:	9/10/2011
Time:	5:24 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20110910 17:11:35.765  	37.490	121.10	-4.1	-0.98	0.09	-1.93	0.065	one	
20110910 17:11:35.866  	37.595	121.27	-4.1	-0.98	0.08	-1.93	0.064	two	
20110910 17:11:35.965  	37.661	121.37	-4.1	-0.97	0.09	-1.86	0.065	three	
20110910 17:11:36.066  	37.622	121.31	-4.1	-0.97	0.16	-1.86	0.065	four	
20110910 17:11:36.167  	37.718	121.46	-4.1	-0.97	0.16	-1.86	0.065	five	
20110910 17:11:36.269  	37.863	121.70	-4.1	-1.02	0.09	-1.99	0.064	six	
20110910 17:11:36.369  	37.925	121.80	-4.1	-1.05	0.15	-2.04	0.064	seven	
20110910 17:11:36.468  	37.963	121.86	-4.1	-1.05	0.09	-2.04	0.064	eight	
20110910 17:11:36.568  	37.978	121.88	-4.1	-1.05	0.09	-2.04	0.063	nine	
20110910 17:11:36.698  	37.998	121.91	-4.1	-1.01	0.09	-1.94	0.063	ten	
