Date:	9/24/2020
Time:	2:11 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:09:27.266  	6.331	49.76	-4.0	0.02	0.05	0.02	0.002	Normal	
20200924 14:09:27.299  	6.338	49.79	-4.0	0.02	0.05	0.02	0.002	Normal	
20200924 14:09:27.334  	6.352	49.85	-4.0	0.02	0.05	0.02	0.002	Normal	
20200924 14:09:27.366  	6.358	49.87	-4.0	0.02	0.05	0.03	0.002	Normal	
20200924 14:09:27.399  	6.366	49.90	-4.0	0.02	0.05	0.02	0.003	Normal	
20200924 14:09:27.432  	6.369	49.91	-4.0	0.02	0.05	0.02	0.003	Normal	
20200924 14:09:27.466  	6.382	49.96	-4.0	0.02	0.05	0.02	0.003	Normal	
20200924 14:09:27.499  	6.388	49.99	-4.0	0.02	0.05	0.02	0.003	Normal	
20200924 14:09:27.532  	6.390	49.99	-4.0	0.02	0.05	0.02	0.003	Normal	
20200924 14:09:27.565  	6.393	50.01	-4.0	0.02	0.05	0.02	0.004	Normal	
20200924 14:09:41.331  	6.338	49.79	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.366  	6.347	49.82	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.400  	6.349	49.83	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.433  	6.348	49.83	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.465  	6.345	49.82	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.499  	6.362	49.89	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.533  	6.367	49.91	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.566  	6.375	49.94	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.599  	6.376	49.94	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:41.632  	6.385	49.98	-2.0	0.02	0.13	0.03	0.003	Normal	
20200924 14:09:50.280  	6.289	49.60	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.315  	6.297	49.63	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.348  	6.299	49.64	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.382  	6.297	49.63	-0.0	0.11	0.22	0.11	0.002	Normal	
20200924 14:09:50.416  	6.296	49.63	-0.0	0.11	0.22	0.11	0.002	Normal	
20200924 14:09:50.448  	6.297	49.63	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.481  	6.296	49.62	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.514  	6.294	49.62	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.545  	6.296	49.62	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:09:50.578  	6.295	49.62	-0.0	0.10	0.22	0.11	0.002	Normal	
20200924 14:10:01.849  	6.316	49.71	2.0	0.14	0.18	0.14	0.002	Normal	
20200924 14:10:01.882  	6.314	49.70	2.0	0.14	0.18	0.14	0.002	Normal	
20200924 14:10:01.915  	6.311	49.69	2.0	0.14	0.18	0.14	0.001	Normal	
20200924 14:10:01.950  	6.307	49.67	2.0	0.14	0.18	0.14	0.001	Normal	
20200924 14:10:01.983  	6.304	49.66	2.0	0.14	0.18	0.15	0.001	Normal	
20200924 14:10:02.017  	6.310	49.68	2.0	0.14	0.18	0.15	0.001	Normal	
20200924 14:10:02.049  	6.310	49.68	2.0	0.14	0.18	0.15	0.001	Normal	
20200924 14:10:02.082  	6.309	49.68	2.0	0.14	0.18	0.15	0.001	Normal	
20200924 14:10:02.115  	6.313	49.69	2.0	0.14	0.18	0.14	0.001	Normal	
20200924 14:10:02.148  	6.313	49.69	2.0	0.14	0.18	0.14	0.001	Normal	
20200924 14:10:07.916  	7.047	52.50	4.1	0.18	0.13	0.18	0.001	Normal	
20200924 14:10:07.950  	7.032	52.44	4.1	0.18	0.13	0.18	0.001	Normal	
20200924 14:10:07.985  	7.027	52.43	4.1	0.18	0.13	0.18	0.001	Normal	
20200924 14:10:08.018  	7.022	52.41	4.1	0.18	0.13	0.18	0.001	Normal	
20200924 14:10:08.051  	7.001	52.33	4.1	0.18	0.13	0.18	0.001	Normal	
20200924 14:10:08.084  	6.992	52.29	4.1	0.18	0.13	0.18	0.001	Normal	
20200924 14:10:08.117  	6.982	52.26	4.1	0.18	0.12	0.18	0.001	Normal	
20200924 14:10:08.148  	6.971	52.22	4.1	0.18	0.12	0.18	0.001	Normal	
20200924 14:10:08.182  	6.952	52.15	4.1	0.18	0.12	0.18	0.001	Normal	
20200924 14:10:08.215  	6.937	52.09	4.1	0.18	0.12	0.18	0.001	Normal	
20200924 14:10:16.532  	6.391	50.00	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.565  	6.391	50.00	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.598  	6.390	49.99	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.631  	6.400	50.03	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.665  	6.408	50.06	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.698  	6.396	50.02	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.733  	6.388	49.99	6.1	0.17	0.04	0.17	-0.001	Normal	
20200924 14:10:16.766  	6.383	49.97	6.1	0.17	0.03	0.17	-0.001	Normal	
20200924 14:10:16.801  	6.378	49.95	6.1	0.17	0.03	0.17	-0.001	Normal	
20200924 14:10:16.834  	6.363	49.89	6.1	0.17	0.03	0.17	-0.001	Normal	
20200924 14:10:22.767  	6.263	49.50	8.0	0.18	-0.04	0.17	-0.001	Normal	
20200924 14:10:22.802  	6.266	49.51	8.0	0.18	-0.04	0.17	-0.001	Normal	
20200924 14:10:22.837  	6.271	49.53	8.0	0.18	-0.04	0.17	-0.001	Normal	
