Date:	9/24/2020
Time:	2:38 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:38:30.869  	2.477	31.12	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:30.971  	2.531	31.46	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.072  	2.591	31.83	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.203  	2.677	32.36	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.302  	2.736	32.71	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.404  	2.798	33.08	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.504  	2.868	33.49	-2.0	0.03	0.07	0.04	-0.077	Normal	
20200924 14:38:31.605  	2.937	33.89	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.736  	3.024	34.39	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:31.838  	3.091	34.77	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:31.940  	3.152	35.11	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.040  	3.218	35.48	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.170  	3.308	35.97	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.269  	3.376	36.34	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.372  	3.449	36.73	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.504  	3.551	37.27	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.604  	3.637	37.72	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:32.704  	3.721	38.15	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:32.803  	3.811	38.61	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:32.905  	3.910	39.11	-2.0	0.03	0.07	0.05	-0.077	Normal	
20200924 14:38:33.004  	4.010	39.60	-2.0	0.03	0.07	0.05	-0.076	Normal	
20200924 14:38:33.106  	4.103	40.06	-2.0	0.03	0.07	0.05	-0.076	Normal	
20200924 14:38:33.239  	4.220	40.63	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:33.338  	4.313	41.07	-2.0	0.03	0.07	0.04	-0.076	Normal	
20200924 14:38:33.471  	4.424	41.60	-2.0	0.03	0.07	0.04	-0.075	Normal	
