          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
          20.02,      0.0403246,     -0.0113899,       0.218671,     -0.0617646,      0.0349066,      0.0406314,     -0.0608083
        20.0054,      0.0403246,     -0.0113899,       0.218992,     -0.0618552,      0.0349066,      0.0406398,     -0.0608961
        19.9467,      0.0403246,     -0.0113899,       0.220282,     -0.0622196,      0.0349066,      0.0406735,     -0.0612492
        19.9467,      0.0403246,     -0.0113899,       0.220282,     -0.0622196,      0.0349066,      0.0406735,     -0.0612492
         19.888,      0.0403246,     -0.0113899,       0.221583,     -0.0625872,      0.0349066,      0.0407076,     -0.0616053
         19.844,      0.0403246,     -0.0113899,       0.222567,     -0.0628651,      0.0349066,      0.0407334,     -0.0618744
         19.756,      0.0403246,     -0.0113899,       0.224554,     -0.0634264,      0.0349066,      0.0407854,     -0.0624179
        19.7267,      0.0403246,     -0.0113899,       0.225222,     -0.0636152,      0.0349066,      0.0408029,     -0.0626007
         19.712,      0.0403246,     -0.0113899,       0.225558,     -0.0637099,      0.0349066,      0.0408117,     -0.0626923
         19.624,      0.0403246,     -0.0113899,       0.227585,     -0.0642825,      0.0349066,      0.0408647,     -0.0632466
        19.6094,      0.0403246,     -0.0113899,       0.227926,     -0.0643787,      0.0349066,      0.0408737,     -0.0633397
          19.58,      0.0403246,     -0.0113899,       0.228609,     -0.0645718,      0.0349066,      0.0408915,     -0.0635265
        19.5654,      0.0403246,     -0.0113899,       0.228952,     -0.0646686,      0.0349066,      0.0409005,     -0.0636202
        19.5507,      0.0403246,     -0.0113899,       0.229296,     -0.0647657,      0.0349066,      0.0409095,     -0.0637142
         19.536,      0.0403246,     -0.0113899,        0.22964,      -0.064863,      0.0349066,      0.0409185,     -0.0638083
        19.5214,      0.0403246,     -0.0113899,       0.229985,     -0.0649605,      0.0349066,      0.0409276,     -0.0639026
        19.5067,      0.0403246,     -0.0113899,       0.230331,     -0.0650582,      0.0349066,      0.0409366,     -0.0639971
         19.536,      0.0403246,     -0.0113899,        0.22964,      -0.064863,      0.0349066,      0.0409185,     -0.0638083
          19.58,      0.0403246,     -0.0113899,       0.228609,     -0.0645718,      0.0349066,      0.0408915,     -0.0635265
        19.6387,      0.0403246,     -0.0113899,       0.227245,     -0.0641866,      0.0349066,      0.0408558,     -0.0631537
        19.6534,      0.0403246,     -0.0113899,       0.226906,     -0.0640908,      0.0349066,       0.040847,     -0.0630611
        19.6974,      0.0403246,     -0.0113899,       0.225894,     -0.0638048,      0.0349066,      0.0408205,     -0.0627842
        19.7707,      0.0403246,     -0.0113899,       0.224221,     -0.0633323,      0.0349066,      0.0407767,     -0.0623268
         19.888,      0.0403246,     -0.0113899,       0.221583,     -0.0625872,      0.0349066,      0.0407076,     -0.0616053
          20.02,      0.0403246,     -0.0113899,       0.218671,     -0.0617646,      0.0349066,      0.0406314,     -0.0608083
         20.196,      0.0399756,    -0.00139598,       0.213017,     -0.0074387,      0.0349066,      0.0404833,    -0.00653118
          20.46,      0.0399756,    -0.00139598,       0.207555,    -0.00724797,      0.0349066,      0.0403403,    -0.00638639
         20.856,      0.0399756,    -0.00139598,       0.199748,    -0.00697534,      0.0349066,       0.040136,    -0.00617736
        21.3107,      0.0399756,    -0.00139598,       0.191315,    -0.00668088,      0.0349066,      0.0399152,    -0.00594885
        21.6627,      0.0399756,    -0.00139598,       0.185148,    -0.00646553,      0.0349066,      0.0397537,    -0.00577993
        22.0441,      0.0399756,    -0.00139598,       0.178798,    -0.00624377,      0.0349066,      0.0395875,    -0.00560439
        22.4254,      0.0399756,    -0.00139598,       0.172769,    -0.00603323,      0.0349066,      0.0394297,    -0.00543625
        22.8361,      0.0399756,    -0.00139598,       0.166611,    -0.00581819,      0.0349066,      0.0392684,      -0.005263
        23.2907,      0.0396266,     0.00859793,       0.158771,      0.0344492,      0.0349066,      0.0390632,      0.0349533
        23.7454,      0.0396266,     0.00859793,       0.152749,      0.0331426,      0.0349066,      0.0389055,      0.0336092
        24.2294,      0.0396266,     0.00859793,       0.146708,      0.0318317,      0.0349066,      0.0387474,      0.0322621
        24.7574,      0.0396266,     0.00859793,       0.140517,      0.0304884,      0.0349066,      0.0385853,      0.0308833
        25.4467,      0.0399756,    -0.00139598,       0.134178,    -0.00468561,      0.0349066,      0.0384194,    -0.00432553
        25.9454,      0.0399756,    -0.00139598,        0.12907,    -0.00450722,      0.0349066,      0.0382856,    -0.00417404
        26.4001,      0.0399756,    -0.00139598,       0.124663,    -0.00435331,      0.0349066,      0.0381702,     -0.0040425
        26.8841,      0.0399756,    -0.00139598,       0.120214,    -0.00419798,      0.0349066,      0.0380538,    -0.00390895
        27.5001,      0.0399756,    -0.00139598,       0.114889,    -0.00401201,      0.0349066,      0.0379144,    -0.00374802
        27.9547,      0.0399756,    -0.00139598,       0.111182,    -0.00388257,      0.0349066,      0.0378173,    -0.00363534
        28.4827,      0.0399756,    -0.00139598,       0.107098,    -0.00373995,      0.0349066,      0.0377104,    -0.00351055
        29.2307,      0.0396266,     0.00859793,         0.1008,      0.0218708,      0.0349066,      0.0375455,       0.022074
        29.9494,      0.0392776,      0.0185918,      0.0951743,      0.0450502,      0.0349066,      0.0373982,      0.0452314
        30.5067,      0.0392776,      0.0185918,      0.0917286,      0.0434192,      0.0349066,       0.037308,      0.0435874
        31.0347,      0.0489226,      0.0282368,       0.110399,       0.063719,      0.0349066,      0.0377968,      0.0639628
        31.7387,      0.0489226,      0.0282368,       0.105555,      0.0609237,      0.0349066,        0.03767,      0.0611465
        32.2374,      0.0489226,      0.0282368,       0.102315,      0.0590534,      0.0349066,      0.0375852,      0.0592628
        32.7654,      0.0585675,      0.0378817,        0.11857,      0.0766917,      0.0349066,      0.0380107,      0.0769729
        33.2934,      0.0585675,      0.0378817,       0.114839,      0.0742785,      0.0349066,      0.0379131,      0.0745423
        34.1294,      0.0585675,      0.0378817,       0.109282,      0.0706842,      0.0349066,      0.0377676,       0.070923
        34.7747,      0.0685614,      0.0375327,       0.123226,      0.0674578,      0.0349066,      0.0381326,      0.0677615
        35.5521,      0.0585675,      0.0378817,       0.100711,      0.0651403,      0.0349066,      0.0375432,      0.0653431
        36.1241,      0.0585675,      0.0378817,      0.0975469,      0.0630937,      0.0349066,      0.0374603,       0.063284
        36.7988,      0.0585675,      0.0378817,      0.0940028,      0.0608014,      0.0349066,      0.0373676,      0.0609781
        37.3121,      0.0585675,      0.0378817,      0.0914341,      0.0591399,      0.0349066,      0.0373003,      0.0593071
        37.7961,      0.0585675,      0.0378817,      0.0891073,       0.057635,      0.0349066,      0.0372394,      0.0577938
        38.3094,      0.0585675,      0.0378817,      0.0867353,      0.0561007,      0.0349066,      0.0371773,      0.0562512
        38.8668,      0.0585675,      0.0378817,      0.0842656,      0.0545033,      0.0349066,      0.0371126,      0.0546454
        39.4681,      0.0585675,      0.0378817,      0.0817175,      0.0528552,      0.0349066,      0.0370459,      0.0529887
        40.0401,      0.0585675,      0.0378817,      0.0793994,      0.0513558,      0.0349066,      0.0369852,      0.0514819
        40.5828,      0.0585675,      0.0378817,      0.0772901,      0.0499915,      0.0349066,        0.03693,       0.050111
        41.3014,      0.0585675,      0.0378817,      0.0746237,      0.0482669,      0.0349066,      0.0368602,      0.0483783
        41.7414,      0.0585675,      0.0378817,      0.0730588,      0.0472547,      0.0349066,      0.0368192,      0.0473615
        42.1668,      0.0585675,      0.0378817,      0.0715923,      0.0463062,      0.0349066,      0.0367809,      0.0464087
        42.7094,      0.0585675,      0.0378817,      0.0697846,      0.0451369,      0.0349066,      0.0367335,      0.0452343
        43.3401,      0.0585675,      0.0378817,      0.0677684,      0.0438329,      0.0349066,      0.0366807,      0.0439247
        44.1908,      0.0585675,      0.0378817,      0.0651845,      0.0421616,      0.0349066,      0.0366131,      0.0422465
        45.0268,      0.0582185,      0.0478756,      0.0624123,      0.0513243,      0.0349066,      0.0365405,      0.0514022
        45.6868,      0.0582185,      0.0478756,       0.060622,      0.0498521,      0.0349066,      0.0364937,      0.0499256
        46.5228,      0.0582185,      0.0478756,      0.0584629,      0.0480766,      0.0349066,      0.0364371,      0.0481449
        46.9921,      0.0582185,      0.0478756,      0.0573009,       0.047121,      0.0349066,      0.0364067,      0.0471867
        47.5054,      0.0582185,      0.0478756,      0.0560692,      0.0461082,      0.0349066,      0.0363745,       0.046171
        47.9748,      0.0582185,      0.0478756,      0.0549776,      0.0452104,      0.0349066,      0.0363459,      0.0452709
        48.5028,      0.0582185,      0.0478756,      0.0537871,      0.0442315,      0.0349066,      0.0363147,      0.0442893
        49.0308,      0.0582185,      0.0478756,      0.0526349,       0.043284,      0.0349066,      0.0362846,      0.0433394
        49.5441,      0.0582185,      0.0478756,      0.0515498,      0.0423917,      0.0349066,      0.0362561,      0.0424448
        50.2041,      0.0582185,      0.0478756,      0.0502034,      0.0412844,      0.0349066,      0.0362209,      0.0413348
        50.6734,      0.0582185,      0.0478756,      0.0492777,      0.0405232,      0.0349066,      0.0361967,      0.0405718
        51.3775,      0.0582185,      0.0478756,      0.0479365,      0.0394203,      0.0349066,      0.0361615,      0.0394662
        51.8908,      0.0582185,      0.0478756,      0.0469928,      0.0386442,      0.0349066,      0.0361368,      0.0386883
        52.4335,      0.0582185,      0.0478756,      0.0460251,      0.0378484,      0.0349066,      0.0361115,      0.0378908
        52.8881,      0.0582185,      0.0478756,      0.0452371,      0.0372005,      0.0349066,      0.0360909,      0.0372414
        53.6655,      0.0578695,      0.0578695,      0.0436728,      0.0436728,      0.0349066,      0.0360499,      0.0437109
        54.3108,      0.0578695,      0.0578695,      0.0426411,      0.0426411,      0.0349066,      0.0360229,      0.0426774
        54.9268,      0.0578695,      0.0578695,        0.04169,        0.04169,      0.0349066,       0.035998,      0.0417247
        55.7628,      0.0578695,      0.0578695,      0.0404493,      0.0404493,      0.0349066,      0.0359655,       0.040482
        56.4228,      0.0578695,      0.0578695,      0.0395085,      0.0395085,      0.0349066,      0.0359409,      0.0395398
        57.1561,      0.0578695,      0.0578695,      0.0385012,      0.0385012,      0.0349066,      0.0359145,      0.0385309
        57.8308,      0.0578695,      0.0578695,      0.0376081,      0.0376081,      0.0349066,      0.0358912,      0.0376364
        58.4908,      0.0578695,      0.0578695,      0.0367642,      0.0367642,      0.0349066,      0.0358691,      0.0367912
        59.1361,      0.0678634,      0.0575205,      0.0421774,      0.0357493,      0.0349066,      0.0360108,      0.0357849
        59.7815,      0.0675144,      0.0675144,      0.0410595,      0.0410595,      0.0349066,      0.0359815,      0.0410932
        60.3388,      0.0675144,      0.0675144,      0.0403045,      0.0403045,      0.0349066,      0.0359617,       0.040337
        61.0721,      0.0675144,      0.0675144,      0.0393424,      0.0393424,      0.0349066,      0.0359366,      0.0393733
        61.5415,      0.0675144,      0.0675144,      0.0387446,      0.0387446,      0.0349066,      0.0359209,      0.0387746
        62.1575,      0.0675144,      0.0675144,      0.0379805,      0.0379805,      0.0349066,      0.0359009,      0.0380093
        62.7441,      0.0678634,      0.0575205,      0.0374662,      0.0317561,      0.0349066,      0.0358874,      0.0317841
        63.3601,      0.0675144,      0.0675144,      0.0365523,      0.0365523,      0.0349066,      0.0358635,       0.036579
        63.9615,      0.0675144,      0.0675144,      0.0358682,      0.0358682,      0.0349066,      0.0358456,       0.035894
        64.5481,      0.0675144,      0.0675144,      0.0352192,      0.0352192,      0.0349066,      0.0358286,       0.035244
        64.9441,      0.0675144,      0.0675144,       0.034791,       0.034791,      0.0349066,      0.0358174,      0.0348152
        65.2081,      0.0675144,      0.0675144,      0.0345099,      0.0345099,      0.0349066,        0.03581,      0.0345337
        65.7655,      0.0675144,      0.0675144,      0.0339274,      0.0339274,      0.0349066,      0.0357948,      0.0339505
        66.1175,      0.0675144,      0.0675144,      0.0335671,      0.0335671,      0.0349066,      0.0357854,      0.0335897
        66.6895,      0.0675144,      0.0675144,      0.0329938,      0.0329938,      0.0349066,      0.0357703,      0.0330156
        67.2028,      0.0675144,      0.0675144,      0.0324917,      0.0324917,      0.0349066,      0.0357572,      0.0325128
        67.9508,      0.0775083,      0.0671654,      0.0364846,       0.031616,      0.0349066,      0.0358617,      0.0316426
        68.5962,      0.0775083,      0.0671654,      0.0358013,      0.0310239,      0.0349066,      0.0358438,      0.0310496
        69.2708,      0.0775083,      0.0671654,      0.0351074,      0.0304225,      0.0349066,      0.0358257,      0.0304472
        69.9895,      0.0771593,      0.0771593,      0.0342352,      0.0342352,      0.0349066,      0.0358028,      0.0342587
        70.7228,      0.0771593,      0.0771593,      0.0335289,      0.0335289,      0.0349066,      0.0357844,      0.0335514
        71.4708,      0.0771593,      0.0771593,      0.0328308,      0.0328308,      0.0349066,      0.0357661,      0.0328523
        72.0575,      0.0771593,      0.0771593,      0.0322984,      0.0322984,      0.0349066,      0.0357521,      0.0323192
        72.9228,      0.0771593,      0.0771593,      0.0315364,      0.0315364,      0.0349066,      0.0357322,      0.0315563
        73.5535,      0.0771593,      0.0771593,      0.0309979,      0.0309979,      0.0349066,      0.0357181,      0.0310171
        74.3455,      0.0771593,      0.0771593,       0.030341,       0.030341,      0.0349066,      0.0357009,      0.0303594
        75.5042,      0.0868042,      0.0868042,       0.033094,       0.033094,      0.0349066,       0.035773,      0.0331159
