          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        16.3827,      0.0354355,      0.0241411,       0.286958,       0.195496,       0.139626,       0.147139,       0.197142
        16.3827,      0.0354355,      0.0241411,       0.286958,       0.195496,       0.139626,       0.147139,       0.197142
        16.3827,      0.0354355,      0.0241411,       0.286958,       0.195496,       0.139626,       0.147139,       0.197142
         16.412,      0.0354355,      0.0241411,       0.285933,       0.194797,       0.139626,       0.147112,       0.196433
        16.4854,      0.0255329,      0.0255329,       0.204198,       0.204198,       0.139626,       0.144972,       0.205032
         16.676,      0.0255329,      0.0255329,       0.199556,       0.199556,       0.139626,       0.144851,       0.200352
         16.808,      0.0255329,      0.0255329,       0.196434,       0.196434,       0.139626,       0.144769,       0.197205
        17.0134,      0.0255329,      0.0255329,       0.191721,       0.191721,       0.139626,       0.144646,       0.192456
        17.2187,      0.0255329,      0.0255329,       0.187175,       0.187175,       0.139626,       0.144527,       0.187876
        17.3654,      0.0255329,      0.0255329,       0.184027,       0.184027,       0.139626,       0.144444,       0.184704
         17.512,      0.0255329,      0.0255329,       0.180957,       0.180957,       0.139626,       0.144364,       0.181612
        17.5854,      0.0255329,      0.0255329,       0.179451,       0.179451,       0.139626,       0.144324,       0.180095
        17.6587,      0.0255329,      0.0255329,       0.177964,       0.177964,       0.139626,       0.144285,       0.178597
        17.7174,      0.0255329,      0.0255329,       0.176787,       0.176787,       0.139626,       0.144255,       0.177412
        17.7027,      0.0255329,      0.0255329,        0.17708,        0.17708,       0.139626,       0.144262,       0.177708
        17.7027,      0.0255329,      0.0255329,        0.17708,        0.17708,       0.139626,       0.144262,       0.177708
         17.688,      0.0241411,      0.0354355,       0.167706,       0.246167,       0.139626,       0.144017,        0.24673
        17.5854,      0.0241411,      0.0354355,        0.16967,        0.24905,       0.139626,       0.144068,       0.249626
         17.468,      0.0241411,      0.0354355,       0.171957,       0.252407,       0.139626,       0.144128,       0.252998
          17.38,      0.0241411,      0.0354355,       0.173703,       0.254969,       0.139626,       0.144174,       0.255573
         17.336,      0.0241411,      0.0354355,       0.174586,       0.256265,       0.139626,       0.144197,       0.256875
        17.3507,      0.0241411,      0.0354355,       0.174291,       0.255832,       0.139626,       0.144189,        0.25644
        17.4094,      0.0340438,      0.0340438,       0.244131,       0.244131,       0.139626,       0.146018,       0.245323
         17.688,      0.0340438,      0.0340438,       0.236499,       0.236499,       0.139626,       0.145818,       0.237618
        18.1574,      0.0340438,      0.0340438,       0.224431,       0.224431,       0.139626,       0.145502,       0.225438
        18.6267,      0.0340438,      0.0340438,       0.213263,       0.213263,       0.139626,        0.14521,       0.214173
          19.14,      0.0241411,      0.0354355,       0.143226,       0.210234,       0.139626,       0.143376,       0.210645
        19.8147,      0.0241411,      0.0354355,       0.133639,       0.196162,       0.139626,       0.143125,       0.196519
        20.3427,      0.0255329,      0.0255329,       0.134101,       0.134101,       0.139626,       0.143137,       0.134461
        20.8854,      0.0255329,      0.0255329,       0.127223,       0.127223,       0.139626,       0.142957,       0.127547
        21.3254,      0.0255329,      0.0255329,       0.122027,       0.122027,       0.139626,       0.142821,       0.122325
         21.824,      0.0255329,      0.0255329,       0.116514,       0.116514,       0.139626,       0.142677,       0.116786
        22.1907,      0.0241411,      0.0354355,       0.106553,       0.156404,       0.139626,       0.142416,       0.156631
        22.5427,      0.0241411,      0.0354355,       0.103251,       0.151557,       0.139626,       0.142329,       0.151771
        23.1587,      0.0241411,      0.0354355,      0.0978316,       0.143602,       0.139626,       0.142188,       0.143793
        23.5694,      0.0326521,      0.0439465,       0.127751,        0.17194,       0.139626,       0.142971,       0.172267
        24.0974,      0.0340438,      0.0340438,       0.127423,       0.127423,       0.139626,       0.142962,       0.127748
        24.8894,      0.0340438,      0.0340438,       0.119443,       0.119443,       0.139626,       0.142753,       0.119728
        25.4321,      0.0340438,      0.0340438,         0.1144,         0.1144,       0.139626,       0.142621,       0.114662
        26.0481,      0.0241411,      0.0354355,      0.0773317,       0.113511,       0.139626,       0.141651,       0.113631
        26.5907,      0.0241411,      0.0354355,      0.0742075,       0.108925,       0.139626,       0.141569,       0.109036
        26.9574,      0.0340438,      0.0340438,        0.10182,        0.10182,       0.139626,       0.142292,       0.102027
        27.2801,      0.0354355,      0.0241411,        0.10349,      0.0705046,       0.139626,       0.142336,      0.0707188
        27.6614,      0.0354355,      0.0241411,       0.100656,      0.0685741,       0.139626,       0.142261,      0.0687767
        28.2041,      0.0354355,      0.0241411,      0.0968202,      0.0659606,       0.139626,       0.142161,      0.0661481
        28.6881,      0.0354355,      0.0241411,      0.0935809,      0.0637537,       0.139626,       0.142076,      0.0639289
        29.2161,      0.0354355,      0.0241411,       0.090229,      0.0614702,       0.139626,       0.141988,       0.061633
        29.8321,      0.0354355,      0.0241411,      0.0865412,      0.0589578,       0.139626,       0.141892,      0.0591076
        30.6241,      0.0354355,      0.0241411,      0.0821228,      0.0559477,       0.139626,       0.141776,      0.0560826
        31.0934,      0.0354355,      0.0241411,      0.0796623,      0.0542715,       0.139626,       0.141712,      0.0543984
        31.5921,      0.0354355,      0.0241411,      0.0771673,      0.0525717,       0.139626,       0.141647,      0.0526908
        32.1347,      0.0354355,      0.0241411,       0.074583,      0.0508111,       0.139626,       0.141579,      0.0509223
        32.6481,      0.0368273,      0.0142384,      0.0750939,      0.0290334,       0.139626,       0.141592,      0.0291462
        33.1614,      0.0368273,      0.0142384,       0.072787,      0.0281415,       0.139626,       0.141532,      0.0282474
        33.5574,      0.0368273,      0.0142384,      0.0710793,      0.0274812,       0.139626,       0.141487,      0.0275823
        34.0561,      0.0368273,      0.0142384,       0.069013,      0.0266823,       0.139626,       0.141433,      0.0267776
        34.5694,      0.0368273,      0.0142384,      0.0669786,      0.0258958,       0.139626,        0.14138,      0.0259855
        35.0681,      0.0368273,      0.0142384,      0.0650873,      0.0251645,       0.139626,        0.14133,      0.0252493
        35.5667,      0.0368273,      0.0142384,      0.0632749,      0.0244638,       0.139626,       0.141283,      0.0245439
        36.1241,      0.0368273,      0.0142384,      0.0613375,      0.0237148,       0.139626,       0.141232,        0.02379
        36.8281,      0.0269246,      0.0156302,      0.0431461,       0.025047,       0.139626,       0.140756,      0.0250843
        37.4881,      0.0368273,      0.0142384,      0.0569552,      0.0220205,       0.139626,       0.141117,      0.0220853
        38.1628,      0.0368273,      0.0142384,      0.0549592,      0.0212488,       0.139626,       0.141065,      0.0213092
        38.6908,      0.0368273,      0.0142384,      0.0534694,      0.0206728,       0.139626,       0.141026,      0.0207299
        39.2041,      0.0368273,      0.0142384,      0.0520784,      0.0201349,       0.139626,        0.14099,      0.0201892
        39.6294,       0.038219,     0.00433576,      0.0528925,      0.0060004,       0.139626,       0.141011,     0.00605635
        40.1721,       0.038219,     0.00433576,      0.0514732,     0.00583938,       0.139626,       0.140974,     0.00589237
        40.8468,       0.038219,     0.00433576,      0.0497868,     0.00564808,       0.139626,        0.14093,     0.00569765
        41.3454,       0.038219,     0.00433576,      0.0485931,     0.00551265,       0.139626,       0.140898,     0.00555988
        41.9468,       0.038219,     0.00433576,      0.0472099,     0.00535573,       0.139626,       0.140862,     0.00540031
        42.4454,      0.0481217,     0.00294403,      0.0580536,     0.00355165,       0.139626,       0.141146,     0.00361906
        42.9148,      0.0495134,    -0.00695865,      0.0584332,    -0.00821225,       0.139626,       0.141156,    -0.00814396
        43.5161,      0.0495134,    -0.00695865,      0.0568295,    -0.00798686,       0.139626,       0.141114,    -0.00792226
        44.1468,      0.0495134,    -0.00695865,      0.0552174,    -0.00776029,       0.139626,       0.141072,    -0.00769931
        44.6014,      0.0495134,    -0.00695865,      0.0540973,    -0.00760288,       0.139626,       0.141043,    -0.00754435
        45.1001,      0.0495134,    -0.00695865,      0.0529076,    -0.00743568,       0.139626,       0.141011,     -0.0073797
        45.5988,      0.0495134,    -0.00695865,      0.0517568,    -0.00727394,       0.139626,       0.140981,    -0.00722036
