Date:	9/24/2020
Time:	2:25 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:24:59.141  	8.963	59.21	-4.0	0.04	0.09	0.05	-0.048	Normal	
20200924 14:24:59.242  	8.947	59.16	-4.0	0.03	0.09	0.05	-0.048	Normal	
20200924 14:24:59.343  	8.930	59.10	-4.0	0.04	0.09	0.05	-0.048	Normal	
20200924 14:24:59.444  	8.922	59.08	-4.0	0.04	0.09	0.05	-0.049	Normal	
20200924 14:24:59.545  	8.899	59.00	-4.0	0.04	0.09	0.05	-0.049	Normal	
20200924 14:24:59.646  	8.881	58.94	-4.0	0.04	0.09	0.05	-0.049	Normal	
20200924 14:24:59.776  	8.864	58.88	-3.8	0.04	0.09	0.05	-0.050	Normal	
20200924 14:24:59.907  	8.866	58.89	-3.5	0.04	0.11	0.05	-0.050	Normal	
20200924 14:25:00.009  	8.870	58.90	-3.4	0.04	0.12	0.05	-0.050	Normal	
20200924 14:25:00.110  	8.860	58.87	-3.3	0.04	0.17	0.05	-0.050	Normal	
20200924 14:25:00.210  	8.894	58.98	-3.1	0.04	0.20	0.05	-0.050	Normal	
20200924 14:25:00.310  	8.921	59.07	-3.0	0.04	0.22	0.05	-0.050	Normal	
20200924 14:25:00.411  	8.932	59.11	-3.0	0.04	0.24	0.05	-0.050	Normal	
20200924 14:25:00.514  	8.941	59.14	-3.0	0.04	0.24	0.05	-0.050	Normal	
20200924 14:25:00.644  	8.968	59.23	-3.0	0.04	0.24	0.05	-0.050	Normal	
20200924 14:25:00.775  	8.979	59.26	-3.0	0.04	0.23	0.05	-0.050	Normal	
20200924 14:25:00.877  	8.966	59.22	-3.0	0.04	0.23	0.05	-0.050	Normal	
20200924 14:25:01.010  	8.946	59.15	-2.9	0.04	0.23	0.05	-0.050	Normal	
20200924 14:25:01.109  	8.931	59.10	-2.7	0.04	0.23	0.05	-0.050	Normal	
20200924 14:25:01.210  	8.917	59.06	-2.6	0.04	0.24	0.05	-0.050	Normal	
20200924 14:25:01.312  	8.893	58.98	-2.4	0.04	0.25	0.05	-0.049	Normal	
20200924 14:25:01.444  	8.872	58.91	-2.1	0.04	0.25	0.05	-0.050	Normal	
20200924 14:25:01.545  	8.868	58.89	-2.1	0.04	0.25	0.05	-0.050	Normal	
20200924 14:25:01.646  	8.880	58.93	-2.1	0.04	0.21	0.05	-0.050	Normal	
20200924 14:25:01.775  	8.857	58.86	-2.1	0.04	0.12	0.05	-0.050	Normal	
20200924 14:25:01.877  	8.861	58.87	-2.1	0.04	0.11	0.05	-0.050	Normal	
20200924 14:25:01.977  	8.855	58.85	-2.1	0.04	0.11	0.05	-0.050	Normal	
20200924 14:25:02.108  	8.866	58.89	-2.0	0.04	0.11	0.05	-0.050	Normal	
20200924 14:25:02.209  	8.873	58.91	-1.8	0.04	0.11	0.05	-0.050	Normal	
20200924 14:25:02.342  	8.892	58.97	-1.6	0.04	0.13	0.05	-0.050	Normal	
20200924 14:25:02.443  	8.910	59.03	-1.4	0.04	0.16	0.05	-0.050	Normal	
20200924 14:25:02.543  	8.908	59.03	-1.3	0.04	0.19	0.05	-0.050	Normal	
20200924 14:25:02.645  	8.931	59.10	-1.0	0.04	0.20	0.05	-0.050	Normal	
20200924 14:25:02.746  	8.943	59.14	-0.9	0.04	0.20	0.05	-0.050	Normal	
20200924 14:25:02.879  	8.964	59.21	-0.9	0.05	0.19	0.06	-0.051	Normal	
20200924 14:25:02.978  	8.971	59.24	-0.9	0.05	0.15	0.06	-0.051	Normal	
20200924 14:25:03.079  	8.976	59.25	-0.9	0.05	0.13	0.06	-0.051	Normal	
