Date:	9/24/2020
Time:	2:23 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:22:40.176  	6.934	52.08	1.6	0.13	0.17	0.14	-0.044	Normal	
20200924 14:22:40.277  	6.917	52.02	1.6	0.13	0.17	0.14	-0.044	Normal	
20200924 14:22:40.377  	6.890	51.91	1.6	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:40.477  	6.873	51.85	1.6	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:40.609  	6.837	51.71	1.8	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:40.711  	6.836	51.71	1.8	0.13	0.17	0.14	-0.044	Normal	
20200924 14:22:40.842  	6.856	51.78	2.0	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:40.944  	6.884	51.89	2.2	0.13	0.17	0.14	-0.044	Normal	
20200924 14:22:41.043  	6.915	52.01	2.3	0.13	0.17	0.14	-0.044	Normal	
20200924 14:22:41.144  	6.943	52.11	2.4	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:41.242  	6.973	52.22	2.5	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:41.372  	7.000	52.33	2.6	0.13	0.16	0.14	-0.044	Normal	
20200924 14:22:41.474  	6.997	52.32	2.6	0.13	0.16	0.13	-0.043	Normal	
20200924 14:22:41.604  	6.986	52.27	2.6	0.12	0.15	0.13	-0.043	Normal	
20200924 14:22:41.734  	6.946	52.12	2.7	0.12	0.14	0.12	-0.042	Normal	
20200924 14:22:41.863  	6.906	51.97	2.8	0.12	0.13	0.12	-0.042	Normal	
20200924 14:22:41.994  	6.835	51.71	3.0	0.12	0.14	0.12	-0.042	Normal	
20200924 14:22:42.125  	6.779	51.49	3.3	0.12	0.14	0.13	-0.042	Normal	
20200924 14:22:42.227  	6.736	51.33	3.3	0.12	0.14	0.13	-0.043	Normal	
20200924 14:22:42.328  	6.721	51.27	3.4	0.12	0.14	0.13	-0.043	Normal	
20200924 14:22:42.461  	6.707	51.22	3.5	0.12	0.14	0.13	-0.044	Normal	
20200924 14:22:42.592  	6.714	51.25	3.5	0.11	0.14	0.12	-0.044	Normal	
20200924 14:22:42.693  	6.724	51.29	3.5	0.11	0.14	0.11	-0.044	Normal	
20200924 14:22:42.825  	6.805	51.59	3.5	0.10	0.12	0.11	-0.043	Normal	
20200924 14:22:42.924  	6.882	51.88	3.8	0.10	0.12	0.11	-0.043	Normal	
20200924 14:22:43.025  	6.957	52.17	4.0	0.10	0.12	0.11	-0.043	Normal	
20200924 14:22:43.126  	7.050	52.51	4.1	0.10	0.12	0.10	-0.043	Normal	
20200924 14:22:43.227  	7.137	52.84	4.2	0.10	0.12	0.10	-0.043	Normal	
20200924 14:22:43.327  	7.232	53.19	4.4	0.10	0.12	0.10	-0.043	Normal	
20200924 14:22:43.459  	7.316	53.50	4.7	0.09	0.11	0.09	-0.044	Normal	
