Date:	9/24/2020
Time:	2:36 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:36:23.635  	1.464	23.93	18.0	0.03	-0.01	0.05	-0.073	Normal	
20200924 14:36:23.734  	1.429	23.64	18.0	0.03	-0.01	0.05	-0.073	Normal	
20200924 14:36:23.835  	1.387	23.29	18.0	0.03	-0.01	0.05	-0.074	Normal	
20200924 14:36:23.937  	1.356	23.03	18.0	0.03	-0.00	0.05	-0.074	Normal	
20200924 14:36:24.037  	1.329	22.80	18.0	0.03	-0.00	0.05	-0.074	Normal	
20200924 14:36:24.168  	1.292	22.48	18.0	0.03	0.00	0.05	-0.074	Normal	
20200924 14:36:24.271  	1.267	22.26	18.0	0.03	0.00	0.05	-0.074	Normal	
20200924 14:36:24.370  	1.243	22.05	18.0	0.03	0.01	0.05	-0.074	Normal	
20200924 14:36:24.505  	1.214	21.79	18.0	0.03	0.01	0.05	-0.073	Normal	
20200924 14:36:24.637  	1.182	21.50	18.0	0.03	0.01	0.05	-0.073	Normal	
20200924 14:36:24.738  	1.157	21.28	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:24.838  	1.137	21.09	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:24.938  	1.115	20.89	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.070  	1.089	20.64	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.203  	1.069	20.45	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.304  	1.058	20.34	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.404  	1.054	20.31	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.506  	1.059	20.35	18.0	0.03	0.02	0.05	-0.074	Normal	
20200924 14:36:25.608  	1.075	20.51	18.0	0.04	0.02	0.05	-0.074	Normal	
20200924 14:36:25.740  	1.105	20.79	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.870  	1.136	21.08	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:25.970  	1.164	21.34	18.0	0.03	0.02	0.05	-0.073	Normal	
20200924 14:36:26.072  	1.196	21.63	18.0	0.03	0.01	0.05	-0.073	Normal	
20200924 14:36:26.173  	1.226	21.90	18.0	0.04	0.01	0.05	-0.073	Normal	
20200924 14:36:26.273  	1.254	22.15	18.0	0.04	0.01	0.05	-0.073	Normal	
20200924 14:36:26.405  	1.294	22.50	18.0	0.04	0.00	0.05	-0.073	Normal	
20200924 14:36:26.539  	1.341	22.90	18.0	0.04	-0.00	0.05	-0.073	Normal	
20200924 14:36:26.638  	1.374	23.18	18.0	0.04	-0.00	0.05	-0.073	Normal	
20200924 14:36:26.771  	1.416	23.53	18.0	0.04	-0.01	0.05	-0.073	Normal	
20200924 14:36:26.871  	1.447	23.79	18.0	0.04	-0.01	0.05	-0.074	Normal	
20200924 14:36:26.971  	1.477	24.03	18.0	0.03	-0.01	0.05	-0.074	Normal	
20200924 14:36:27.072  	1.506	24.27	18.0	0.03	-0.02	0.05	-0.074	Normal	
20200924 14:36:27.205  	1.551	24.63	18.0	0.03	-0.02	0.05	-0.074	Normal	
20200924 14:36:27.304  	1.591	24.94	18.0	0.03	-0.02	0.05	-0.074	Normal	
20200924 14:36:27.404  	1.628	25.23	18.0	0.03	-0.03	0.05	-0.074	Normal	
20200924 14:36:27.505  	1.675	25.60	18.0	0.04	-0.04	0.05	-0.074	Normal	
20200924 14:36:27.606  	1.718	25.92	18.0	0.04	-0.04	0.05	-0.074	Normal	
20200924 14:36:27.705  	1.769	26.30	18.0	0.04	-0.04	0.05	-0.074	Normal	
20200924 14:36:27.838  	1.832	26.77	18.0	0.04	-0.05	0.05	-0.074	Normal	
20200924 14:36:27.939  	1.878	27.11	18.0	0.04	-0.05	0.05	-0.074	Normal	
