          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        76.1055,      0.0524587,       0.182352,       0.019685,      0.0684272,     -0.0698131,     -0.0692978,      0.0684349
        76.0762,      0.0524587,       0.182352,      0.0197002,      0.0684799,     -0.0698131,     -0.0692974,      0.0684877
        75.9735,      0.0524587,       0.182352,      0.0197535,      0.0686651,     -0.0698131,      -0.069296,      0.0686729
        75.8268,      0.0524587,       0.182352,        0.01983,       0.068931,     -0.0698131,      -0.069294,      0.0689389
        75.7095,      0.0524587,       0.182352,      0.0198915,      0.0691448,     -0.0698131,     -0.0692924,      0.0691528
        75.4748,      0.0524587,       0.182352,      0.0200154,      0.0695755,     -0.0698131,     -0.0692891,      0.0695835
        75.3135,      0.0524587,       0.182352,      0.0201012,      0.0698739,     -0.0698131,     -0.0692869,       0.069882
        75.1815,      0.0515324,       0.182206,      0.0198157,      0.0700635,     -0.0645772,     -0.0640584,      0.0700713
        75.0935,      0.0515246,       0.192088,      0.0198591,      0.0740364,     -0.0610865,     -0.0605666,      0.0740443
        75.1228,      0.0525978,       0.221938,      0.0202569,      0.0854748,     -0.0575958,     -0.0570655,       0.085483
        75.1668,      0.0518388,       0.221841,      0.0199413,      0.0853376,     -0.0541052,     -0.0535831,      0.0853455
        75.2108,      0.0514591,       0.221792,      0.0197721,      0.0852188,     -0.0523599,     -0.0518422,      0.0852266
        75.3135,      0.0493769,       0.201662,      0.0189203,      0.0772733,     -0.0471239,     -0.0466285,      0.0772805
        75.4015,      0.0479637,       0.171696,      0.0183359,      0.0656371,     -0.0471239,     -0.0466438,      0.0656439
        75.5042,      0.0474926,       0.161707,      0.0181065,      0.0616505,     -0.0471239,     -0.0466498,      0.0616571
        75.5482,      0.0451373,       0.111762,      0.0171885,      0.0425596,     -0.0471239,     -0.0466739,      0.0425655
        75.5922,      0.0446662,       0.101773,      0.0169893,      0.0387107,     -0.0471239,     -0.0466791,      0.0387164
        75.5922,      0.0446662,       0.101773,      0.0169893,      0.0387107,     -0.0471239,     -0.0466791,      0.0387164
        75.5775,      0.0447601,        0.11164,      0.0170316,      0.0424801,     -0.0436332,     -0.0431873,      0.0424859
        75.5775,      0.0443823,       0.111517,      0.0168879,      0.0424331,     -0.0401426,     -0.0397004,      0.0424389
        75.5482,      0.0438146,       0.111329,      0.0166848,      0.0423946,     -0.0349066,     -0.0344698,      0.0424002
        75.5042,      0.0434354,       0.111202,      0.0165597,      0.0423957,     -0.0314159,     -0.0309824,      0.0424012
        75.4748,      0.0440637,       0.131192,      0.0168123,      0.0500558,     -0.0314159,     -0.0309758,      0.0500615
        75.4748,      0.0874991,       0.242394,      0.0333849,      0.0924845,     -0.0314159,     -0.0305419,      0.0925068
        75.4748,      0.0974942,       0.242709,      0.0371985,      0.0926043,     -0.0314159,     -0.0304421,       0.092632
        75.5188,      0.0970803,       0.242564,      0.0369974,      0.0924415,     -0.0296706,      -0.028702,      0.0924689
        75.5042,       0.107076,       0.242861,      0.0408226,      0.0925905,     -0.0296706,     -0.0286019,      0.0926238
        75.4308,       0.106662,       0.242699,       0.040744,      0.0927086,     -0.0279253,     -0.0268586,      0.0927418
        75.3575,       0.106662,       0.242699,      0.0408233,      0.0928891,     -0.0279253,     -0.0268565,      0.0929225
        75.3722,       0.106078,       0.252369,       0.040584,      0.0965526,     -0.0244346,     -0.0233721,      0.0965855
        75.3428,       0.116097,       0.272426,      0.0444517,       0.104307,     -0.0226893,     -0.0215255,       0.104347
        75.2695,       0.115739,       0.302056,      0.0444009,       0.115878,     -0.0191986,     -0.0180362,       0.115917
        75.1815,       0.125737,       0.302248,      0.0483495,       0.116223,     -0.0191986,     -0.0179328,        0.11627
        75.1668,       0.135927,       0.312439,      0.0522883,       0.120188,     -0.0191986,     -0.0178297,       0.120243
        75.1375,       0.135927,       0.312439,      0.0523291,       0.120282,     -0.0191986,     -0.0178286,       0.120337
        75.1522,        0.13539,       0.312222,      0.0521021,       0.120152,     -0.0174533,     -0.0160893,       0.120206
        75.2842,       0.145009,        0.32216,      0.0556081,       0.123542,      -0.015708,     -0.0142521,       0.123604
        75.2988,        0.15402,       0.331808,      0.0590408,       0.127192,     -0.0122173,     -0.0106716,       0.127262
        75.4015,       0.154265,       0.351806,      0.0589736,       0.134491,     -0.0122173,     -0.0106734,       0.134561
        75.4455,        0.16244,       0.351108,      0.0620263,       0.134068,    -0.00698131,    -0.00535747,       0.134145
