          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        101.904,      0.0370377,     -0.0370377,     0.00775194,    -0.00775194,     -0.0715585,     -0.0713555,    -0.00775074
        101.919,      0.0370377,     -0.0370377,     0.00774971,    -0.00774971,     -0.0715585,     -0.0713556,    -0.00774851
        101.816,      0.0377527,     -0.0270633,     0.00791525,    -0.00567411,     -0.0715585,     -0.0713513,    -0.00567286
        101.787,      0.0377527,     -0.0270633,     0.00791981,    -0.00567738,     -0.0715585,     -0.0713511,    -0.00567613
        101.758,      0.0377527,     -0.0270633,     0.00792438,    -0.00568065,     -0.0715585,      -0.071351,     -0.0056794
        101.728,      0.0377527,     -0.0270633,     0.00792895,    -0.00568393,     -0.0715585,     -0.0713509,    -0.00568267
        101.714,      0.0270633,     -0.0377527,     0.00568557,    -0.00793124,     -0.0715585,     -0.0714096,    -0.00793059
        101.758,      0.0278901,     -0.0278901,     0.00585419,    -0.00585419,     -0.0680678,     -0.0679146,     -0.0058535
        101.743,      0.0280015,     -0.0280015,     0.00587927,    -0.00587927,     -0.0645772,     -0.0644232,    -0.00587858
        101.787,      0.0392713,    -0.00739786,     0.00823839,    -0.00155193,     -0.0645772,     -0.0643615,    -0.00155058
        101.948,      0.0437886,      0.0624562,     0.00915697,      0.0130607,     -0.0645772,     -0.0643374,      0.0130624
        101.978,      0.0450792,      0.0824145,     0.00942145,      0.0172244,     -0.0645772,     -0.0643305,      0.0172262
        102.036,      0.0457245,      0.0923937,     0.00954533,      0.0192879,     -0.0645772,     -0.0643273,      0.0192897
        102.066,      0.0454198,      0.0922741,     0.00947626,      0.0192518,     -0.0610865,     -0.0608384,      0.0192536
        102.036,      0.0456901,       0.102137,     0.00953814,      0.0213218,     -0.0575958,     -0.0573461,      0.0213236
        101.992,      0.0466362,       0.122046,     0.00974405,      0.0254999,     -0.0558505,     -0.0555954,      0.0255018
        101.714,      0.0483189,       0.161874,       0.010151,      0.0340072,     -0.0523599,     -0.0520941,      0.0340092
        101.699,      0.0514591,       0.221792,      0.0108138,      0.0466084,     -0.0523599,     -0.0520768,      0.0466107
        101.758,      0.0514591,       0.221792,      0.0108014,      0.0465546,     -0.0523599,     -0.0520771,       0.046557
        101.684,      0.0525058,       0.241765,       0.011037,      0.0508202,     -0.0523599,     -0.0520709,      0.0508226
        101.802,      0.0525058,       0.241765,      0.0110116,      0.0507031,     -0.0523599,     -0.0520716,      0.0507055
        102.007,      0.0521647,       0.251656,       0.010896,      0.0525652,     -0.0488692,     -0.0485839,      0.0525675
        102.227,      0.0408763,       0.251071,     0.00850142,      0.0522175,     -0.0436332,     -0.0434106,       0.052219
        102.579,      0.0398736,       0.270918,     0.00823608,      0.0559593,     -0.0366519,     -0.0364363,      0.0559607
        102.799,      0.0391408,       0.250931,     0.00805013,      0.0516094,     -0.0366519,     -0.0364411,      0.0516107
        103.078,      0.0384079,       0.230945,     0.00785675,      0.0472422,     -0.0366519,     -0.0364462,      0.0472435
        103.606,      0.0447368,       0.131378,     0.00905836,      0.0266016,     -0.0366519,     -0.0364148,      0.0266033
         103.87,      0.0440039,       0.111392,     0.00886473,      0.0224402,     -0.0366519,     -0.0364198,      0.0224418
         104.09,      0.0438146,       0.111329,     0.00878931,      0.0223329,     -0.0349066,     -0.0346765,      0.0223344
        104.134,      0.0435423,       0.121134,     0.00872732,      0.0242792,     -0.0296706,     -0.0294421,      0.0242807
        104.016,      0.0438934,       0.141062,     0.00881755,      0.0283374,     -0.0279253,     -0.0276944,      0.0283389
        103.884,      0.0458518,       0.240906,     0.00923438,      0.0485175,     -0.0244346,     -0.0241928,      0.0485192
        103.518,       0.058292,        0.34112,      0.0118231,      0.0691878,     -0.0244346,     -0.0241251,      0.0691906
        102.799,       0.058292,        0.34112,       0.011989,      0.0701586,     -0.0244346,     -0.0241207,      0.0701615
        102.315,      0.0578034,       0.321126,      0.0120012,      0.0666728,     -0.0244346,     -0.0241204,      0.0666756
        101.831,      0.0570202,       0.311055,      0.0119514,      0.0651971,     -0.0226893,     -0.0223764,      0.0651999
         101.42,      0.0554026,       0.310825,      0.0117066,      0.0656777,     -0.0174533,     -0.0171468,      0.0656804
          101.2,      0.0636606,       0.300711,      0.0135101,       0.063817,     -0.0122173,     -0.0118636,      0.0638207
        101.215,      0.0726141,       0.250719,      0.0154057,      0.0531924,      -0.010472,     -0.0100687,      0.0531971
        101.479,         0.0723,       0.220721,      0.0152594,      0.0465846,      -0.010472,     -0.0100725,      0.0465893
        101.904,      0.0821947,       0.210826,      0.0172032,      0.0441256,      -0.010472,     -0.0100216,      0.0441315
        102.652,      0.0814641,       0.210553,      0.0168027,      0.0434286,    -0.00698131,    -0.00654142,      0.0434343
        103.327,      0.0816037,       0.230553,      0.0166125,      0.0469347,    -0.00698131,     -0.0065464,      0.0469403
        103.928,      0.0808373,       0.240278,      0.0162665,      0.0483501,    -0.00349066,     -0.0030648,      0.0483554
        104.618,           0.08,           0.24,      0.0158866,      0.0476598,              0,     0.00041591,      0.0476649
        105.102,           0.09,           0.23,      0.0177082,      0.0452543,              0,      0.0004636,      0.0452606
        105.586,           0.09,           0.23,      0.0175462,      0.0448404,              0,    0.000459359,      0.0448465
         105.85,           0.09,           0.22,      0.0174588,      0.0426771,              0,    0.000457071,      0.0426832
        106.114,           0.09,           0.21,      0.0173721,      0.0405348,              0,    0.000454799,      0.0405408
         106.04,      0.0892664,       0.209685,      0.0172543,      0.0405299,     0.00349066,     0.00394237,      0.0405359
        105.952,      0.0885317,       0.209367,      0.0171407,      0.0405357,     0.00698131,     0.00743006,      0.0405416
        105.982,      0.0874277,       0.208885,      0.0169176,        0.04042,      0.0122173,      0.0126602,      0.0404258
        105.938,      0.0874277,       0.208885,      0.0169317,      0.0404536,      0.0122173,      0.0126606,      0.0404594
        105.835,       0.077062,       0.239005,      0.0149532,      0.0463766,      0.0122173,      0.0126088,      0.0463811
        105.498,      0.0670627,       0.239127,      0.0130962,      0.0466976,      0.0122173,      0.0125602,       0.046701
         105.38,      0.0670627,       0.239127,      0.0131254,      0.0468016,      0.0122173,      0.0125609,       0.046805
        105.116,       0.067307,       0.219128,      0.0132395,      0.0431032,      0.0122173,      0.0125639,      0.0431067
         104.94,      0.0661498,       0.218745,      0.0130555,      0.0431722,      0.0174533,      0.0177951,      0.0431756
         104.53,      0.0649908,       0.218355,      0.0129278,      0.0434346,      0.0226893,      0.0230277,       0.043438
        104.016,       0.063146,       0.227822,      0.0126851,      0.0457661,      0.0296706,      0.0300027,      0.0457694
        103.723,       0.052557,        0.24811,      0.0106177,       0.050124,      0.0296706,      0.0299486,      0.0501262
        103.518,      0.0522604,       0.258106,      0.0105997,      0.0523504,      0.0296706,      0.0299481,      0.0523526
        103.532,      0.0522604,       0.258106,      0.0105967,      0.0523356,      0.0296706,       0.029948,      0.0523378
        103.459,       0.052557,        0.24811,       0.010672,      0.0503801,      0.0296706,        0.02995,      0.0503824
        103.576,      0.0518036,       0.257987,      0.0104952,      0.0522671,      0.0314159,      0.0316907,      0.0522693
        103.708,      0.0490597,       0.257259,       0.009914,      0.0519871,      0.0418879,      0.0421474,       0.051989
         103.84,      0.0481439,       0.257011,     0.00970421,      0.0518048,      0.0453785,      0.0456326,      0.0518067
        103.694,      0.0481439,       0.257011,     0.00973168,      0.0519515,      0.0453785,      0.0456333,      0.0519534
        103.518,      0.0485975,       0.247021,     0.00985681,      0.0501021,      0.0453785,      0.0456366,      0.0501041
        103.386,      0.0390614,       0.237485,     0.00794289,       0.048291,      0.0453785,      0.0455865,      0.0482923
        103.136,        0.03911,       0.227389,     0.00799127,       0.046462,      0.0471239,      0.0473331,      0.0464633
        103.078,      0.0382996,       0.227176,     0.00783459,      0.0464713,      0.0506145,      0.0508196,      0.0464725
        102.946,      0.0466608,       0.226165,     0.00956946,      0.0463832,      0.0575958,      0.0578464,       0.046385
        102.931,      0.0452364,       0.235889,     0.00927999,      0.0483913,      0.0610865,      0.0613295,      0.0483931
        102.946,       0.044626,       0.245871,     0.00915214,      0.0504246,      0.0610865,      0.0613261,      0.0504263
        102.975,       0.044626,       0.245871,     0.00914693,      0.0503959,      0.0610865,       0.061326,      0.0503975
        103.034,      0.0452364,       0.235889,     0.00926151,      0.0482949,      0.0610865,       0.061329,      0.0482967
         102.99,      0.0464574,       0.215927,     0.00951961,      0.0442457,      0.0610865,      0.0613357,      0.0442475
        102.843,      0.0367153,       0.206446,     0.00754483,      0.0424237,      0.0628318,      0.0630294,      0.0424248
        102.858,      0.0348576,       0.205888,     0.00716103,      0.0422969,      0.0715585,      0.0717459,      0.0422979
        102.931,      0.0437265,       0.215015,     0.00897023,       0.044109,      0.0733038,      0.0735386,      0.0441107
        102.872,      0.0437265,       0.215015,     0.00898046,      0.0441594,      0.0733038,      0.0735389,       0.044161
        102.843,      0.0437265,       0.215015,     0.00898559,      0.0441846,      0.0733038,       0.073539,      0.0441862
        102.887,      0.0437265,       0.215015,      0.0089779,      0.0441468,      0.0733038,      0.0735388,      0.0441484
        102.887,      0.0359505,       0.185828,     0.00738134,      0.0381541,      0.0733038,       0.073497,      0.0381552
        102.814,      0.0368104,       0.165663,     0.00756868,      0.0340624,      0.0767945,      0.0769926,      0.0340636
        102.711,      0.0359023,       0.165331,     0.00739674,      0.0340622,      0.0820304,      0.0822241,      0.0340633
         102.52,      0.0444057,       0.174217,     0.00918269,      0.0360265,      0.0855211,      0.0857615,      0.0360282
        102.315,      0.0540456,       0.173214,       0.011221,       0.035963,      0.0872664,      0.0875602,      0.0359655
        102.374,      0.0654602,       0.152255,      0.0135754,      0.0315752,      0.0890118,      0.0893672,      0.0315789
        102.271,      0.0763096,       0.141406,      0.0158572,      0.0293842,      0.0890118,      0.0894269,      0.0293892
