          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        115.618,      0.0440879,      0.0626441,     0.00716841,      0.0101855,     -0.0698131,     -0.0696255,      0.0101865
        115.691,      0.0419953,      0.0327172,      0.0068195,     0.00531285,     -0.0698131,     -0.0696346,     0.00531378
        116.028,      0.0433904,      0.0526685,     0.00700514,     0.00850303,     -0.0698131,     -0.0696298,     0.00850401
        116.542,      0.0412977,      0.0227415,     0.00660868,     0.00363922,     -0.0698131,     -0.0696401,      0.0036401
        116.967,      0.0418526,      0.0325188,     0.00664885,     0.00516605,     -0.0645772,     -0.0644031,     0.00516693
        117.554,      0.0417568,       0.032386,      0.0065676,     0.00509373,     -0.0610865,     -0.0609146,     0.00509459
        118.126,      0.0422362,      0.0422362,     0.00657882,     0.00657882,     -0.0575958,     -0.0574236,     0.00657968
         118.58,      0.0479926,        0.14207,     0.00741823,      0.0219599,     -0.0575958,     -0.0574016,       0.021961
        118.712,      0.0525978,       0.221938,     0.00811198,      0.0342287,     -0.0575958,     -0.0573835,        0.03423
        118.844,      0.0555676,       0.281796,     0.00855098,       0.043364,     -0.0558505,     -0.0556267,      0.0433655
        119.094,      0.0572029,       0.301805,      0.0087658,      0.0462488,     -0.0575958,     -0.0573664,      0.0462503
        119.123,      0.0566927,       0.321655,     0.00868334,      0.0492663,     -0.0523599,     -0.0521325,      0.0492678
        119.211,      0.0560727,        0.33156,      0.0085757,      0.0507085,     -0.0488692,     -0.0486447,      0.0507099
        119.108,      0.0565373,       0.381383,     0.00866167,       0.058429,     -0.0436332,     -0.0434065,      0.0584305
        119.064,      0.0571339,       0.411315,     0.00875955,      0.0630613,     -0.0418879,     -0.0416586,      0.0630628
        118.888,      0.0571339,       0.411315,      0.0087855,      0.0632481,     -0.0418879,     -0.0416579,      0.0632497
        118.698,      0.0571339,       0.411315,     0.00881375,      0.0634515,     -0.0418879,     -0.0416571,       0.063453
        118.287,      0.0512713,       0.271438,     0.00796437,      0.0421646,     -0.0418879,     -0.0416794,      0.0421659
        118.126,      0.0508526,       0.261447,     0.00792092,      0.0407236,     -0.0418879,     -0.0416805,      0.0407249
        118.052,      0.0495005,       0.261291,      0.0077199,      0.0407499,     -0.0366519,     -0.0364498,      0.0407511
         117.95,      0.0487005,       0.251244,     0.00760836,      0.0392512,     -0.0349066,     -0.0347074,      0.0392523
        117.979,      0.0478329,       0.251133,     0.00746911,      0.0392144,     -0.0314159,     -0.0312204,      0.0392155
        117.994,       0.047244,       0.261015,     0.00737532,      0.0407474,     -0.0279253,     -0.0277322,      0.0407485
        118.008,      0.0580778,       0.291283,     0.00906433,      0.0454612,     -0.0279253,      -0.027688,      0.0454628
         117.92,      0.0603115,       0.371252,     0.00942701,      0.0580286,     -0.0279253,     -0.0276785,      0.0580304
        117.891,      0.0608699,       0.391244,     0.00951903,       0.061184,     -0.0279253,     -0.0276761,      0.0611858
        117.862,      0.0611492,        0.40124,     0.00956745,      0.0627784,     -0.0279253,     -0.0276748,      0.0627802
        117.891,      0.0611492,        0.40124,     0.00956269,      0.0627472,     -0.0279253,     -0.0276749,       0.062749
        117.994,      0.0597427,       0.431024,     0.00932649,      0.0672876,     -0.0226893,     -0.0224451,      0.0672893
        117.964,      0.0667467,       0.430889,      0.0104251,      0.0673001,      -0.015708,      -0.015435,      0.0673022
        117.964,      0.0662755,       0.400893,      0.0103515,       0.062615,      -0.015708,      -0.015437,      0.0626171
        117.862,      0.0762743,        0.40105,      0.0119339,      0.0627487,      -0.015708,     -0.0153955,      0.0627515
        117.862,      0.0761172,       0.391051,      0.0119094,      0.0611843,      -0.015708,     -0.0153962,      0.0611871
        117.671,      0.0859589,        0.38121,      0.0134928,      0.0598379,      -0.015708,     -0.0153547,      0.0598415
        117.568,      0.0854877,       0.351213,      0.0134423,      0.0552257,      -0.015708,      -0.015356,      0.0552293
        117.788,        0.08427,       0.350951,      0.0132014,      0.0549786,     -0.0122173,     -0.0118717,       0.054982
        117.744,      0.0826509,       0.380549,      0.0129574,      0.0596598,    -0.00698131,    -0.00664209,      0.0596632
        117.803,      0.0806631,       0.380139,      0.0126332,      0.0595362,    -0.00174533,    -0.00141459,      0.0595394
