          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
            mph,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        73.1912,      0.0234391,      0.0512733,     0.00950985,      0.0208029,     -0.0698131,     -0.0695642,      0.0208047
        73.1502,      0.0245247,       0.130619,      0.0099615,      0.0530549,     -0.0349066,     -0.0346458,      0.0530569
         72.782,          0.102,           0.22,      0.0418507,      0.0902662,              0,     0.00109565,      0.0903012
        72.8715,       0.133633,       0.175004,      0.0546951,      0.0716282,      0.0349066,      0.0363385,      0.0716881
        76.7244,       0.170531,       0.112808,       0.062963,      0.0416508,      0.0715585,      0.0732068,      0.0417301
        73.3188,       0.165106,      0.0187256,      0.0667547,     0.00757104,       0.106465,       0.108213,     0.00766017
        72.7043,       0.183815,     -0.0646619,      0.0755809,     -0.0265876,       0.139626,       0.141605,     -0.0264733
        72.2042,         0.2057,      -0.170098,      0.0857552,     -0.0709129,       0.176278,       0.178523,     -0.0707658
        71.8434,       0.236479,      -0.255735,      0.0995796,      -0.107688,       0.209439,       0.212046,       -0.10749
        72.0854,       0.268329,      -0.346265,       0.112234,      -0.144832,       0.244346,       0.247284,       -0.14458
        71.7744,        0.14361,      -0.380836,      0.0605891,      -0.160675,       0.279253,       0.280839,      -0.160602
        71.2494,      0.0965644,      -0.345243,      0.0413434,      -0.147813,        0.31765,       0.318732,      -0.147779
