          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
            mph,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        102.066,      0.0265231,      0.0793018,      0.0055337,      0.0165453,     -0.0715585,     -0.0714136,      0.0165459
        105.848,      0.0464321,       0.500707,     0.00900746,      0.0971334,     -0.0349066,     -0.0346708,       0.097135
        101.815,       0.201089,       0.521647,      0.0421616,       0.109372,     0.00174533,     0.00284912,       0.109407
         101.37,       0.329567,        0.61964,      0.0697064,       0.131059,      0.0366519,      0.0384768,       0.131156
        101.144,       0.433714,        0.64964,      0.0921446,       0.138019,      0.0715585,      0.0739708,       0.138189
        101.608,       0.470876,       0.557946,      0.0991292,       0.117459,        0.10821,       0.110806,       0.117656
        101.241,       0.491498,       0.744825,       0.104221,       0.157939,       0.141372,         0.1441,       0.158156
        100.204,       0.610393,       0.233059,       0.132126,       0.050448,       0.173311,        0.17677,      0.0507972
        100.235,       0.558147,       0.150869,       0.120742,      0.0326369,       0.211185,       0.214346,      0.0329285
         100.15,       0.540838,      0.0607994,       0.117197,      0.0131749,       0.244346,       0.247414,      0.0134496
        96.9308,       0.392909,       0.229638,      0.0908907,      0.0531216,       0.279253,       0.281632,      0.0532869
        99.7321,        0.46177,       0.207235,       0.100904,       0.045284,       0.314159,       0.316801,      0.0454876
