          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        18.5974,      0.0264391,     -0.0477855,       0.166148,      -0.300292,     -0.0698131,     -0.0654634,       -0.29974
        18.7147,      0.0264391,     -0.0477855,       0.164071,      -0.296538,     -0.0698131,     -0.0655178,         -0.296
        18.7147,      0.0264391,     -0.0477855,       0.164071,      -0.296538,     -0.0698131,     -0.0655178,         -0.296
        18.7147,      0.0264391,     -0.0477855,       0.164071,      -0.296538,     -0.0698131,     -0.0655178,         -0.296
        18.8467,      0.0264391,     -0.0477855,       0.161781,      -0.292399,     -0.0698131,     -0.0655777,      -0.291875
        18.9934,      0.0264391,     -0.0477855,       0.159292,      -0.287901,     -0.0698131,     -0.0656429,      -0.287393
        19.1107,      0.0264391,     -0.0477855,       0.157342,      -0.284376,     -0.0698131,      -0.065694,      -0.283881
        19.1547,      0.0264391,     -0.0477855,        0.15662,      -0.283071,     -0.0698131,     -0.0657129,      -0.282581
        19.2427,      0.0264391,     -0.0477855,        0.15519,      -0.280488,     -0.0698131,     -0.0657503,      -0.280006
         19.228,      0.0264391,     -0.0477855,       0.155427,      -0.280916,     -0.0698131,     -0.0657441,      -0.280433
         19.316,      0.0264391,     -0.0477855,       0.154014,      -0.278362,     -0.0698131,     -0.0657811,      -0.277888
         19.316,      0.0264391,     -0.0477855,       0.154014,      -0.278362,     -0.0698131,     -0.0657811,      -0.277888
        19.3307,      0.0264391,     -0.0477855,       0.153781,       -0.27794,     -0.0698131,     -0.0657872,      -0.277467
        19.3014,      0.0264391,     -0.0477855,       0.154248,      -0.278786,     -0.0698131,     -0.0657749,       -0.27831
        19.1547,      0.0264391,     -0.0477855,        0.15662,      -0.283071,     -0.0698131,     -0.0657129,      -0.282581
        19.2134,      0.0264391,     -0.0477855,       0.155665,      -0.281345,     -0.0698131,     -0.0657379,      -0.280861
         19.272,      0.0264391,     -0.0477855,       0.154718,      -0.279635,     -0.0698131,     -0.0657626,      -0.279156
         19.316,      0.0264391,     -0.0477855,       0.154014,      -0.278362,     -0.0698131,     -0.0657811,      -0.277888
         19.316,      0.0264391,     -0.0477855,       0.154014,      -0.278362,     -0.0698131,     -0.0657811,      -0.277888
         19.404,      0.0264391,     -0.0477855,        0.15262,      -0.275843,     -0.0698131,     -0.0658176,      -0.275377
        19.6974,      0.0264391,     -0.0477855,       0.148109,      -0.267689,     -0.0698131,     -0.0659357,       -0.26725
        19.8147,      0.0264391,     -0.0477855,        0.14636,      -0.264528,     -0.0698131,     -0.0659815,      -0.264099
        19.8294,      0.0264391,     -0.0477855,       0.146143,      -0.264137,     -0.0698131,     -0.0659871,      -0.263709
           19.8,      0.0264391,     -0.0477855,       0.146577,       -0.26492,     -0.0698131,     -0.0659758,       -0.26449
         19.932,      0.0264391,     -0.0477855,       0.144642,      -0.261423,     -0.0698131,     -0.0660264,      -0.261004
        19.9614,      0.0264391,     -0.0477855,       0.144217,      -0.260655,     -0.0698131,     -0.0660376,      -0.260239
        20.0347,      0.0264391,     -0.0477855,       0.143163,       -0.25875,     -0.0698131,     -0.0660651,       -0.25834
        20.2547,      0.0264391,     -0.0477855,        0.14007,       -0.25316,     -0.0698131,     -0.0661461,      -0.252767
          20.46,      0.0264391,     -0.0477855,       0.137273,      -0.248104,     -0.0698131,     -0.0662194,      -0.247727
        20.7534,      0.0264391,     -0.0477855,        0.13342,       -0.24114,     -0.0698131,     -0.0663202,      -0.240784
        21.0614,      0.0264391,     -0.0477855,       0.129546,      -0.234139,     -0.0698131,     -0.0664216,      -0.233803
        21.4867,      0.0264391,     -0.0477855,       0.124468,      -0.224961,     -0.0698131,     -0.0665546,      -0.224651
