Date:	9/24/2020
Time:	2:38 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:37:40.704  	0.411	12.68	-4.0	0.03	-0.05	0.05	-0.077	Normal	
20200924 14:37:40.804  	0.417	12.76	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:40.937  	0.416	12.76	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:41.037  	0.416	12.76	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:41.139  	0.422	12.85	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:41.242  	0.429	12.95	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:41.344  	0.434	13.03	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:41.442  	0.436	13.06	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:41.545  	0.440	13.12	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:41.646  	0.440	13.11	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:41.776  	0.443	13.17	-4.0	0.03	-0.05	0.05	-0.074	Normal	
20200924 14:37:41.910  	0.444	13.17	-4.0	0.03	-0.05	0.05	-0.074	Normal	
20200924 14:37:42.009  	0.444	13.18	-4.0	0.03	-0.05	0.05	-0.074	Normal	
20200924 14:37:42.111  	0.443	13.16	-4.0	0.03	-0.05	0.05	-0.074	Normal	
20200924 14:37:42.213  	0.436	13.06	-4.0	0.03	-0.05	0.05	-0.074	Normal	
20200924 14:37:42.345  	0.438	13.10	-4.0	0.03	-0.05	0.05	-0.074	Normal	
20200924 14:37:42.473  	0.441	13.14	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:42.573  	0.443	13.17	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:42.672  	0.443	13.17	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:42.773  	0.448	13.23	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:42.905  	0.461	13.43	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:43.006  	0.467	13.51	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:43.138  	0.467	13.52	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:43.238  	0.466	13.50	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:43.340  	0.472	13.59	-4.0	0.03	-0.05	0.04	-0.074	Normal	
20200924 14:37:43.471  	0.474	13.61	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:43.571  	0.477	13.66	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:43.704  	0.487	13.81	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:43.805  	0.498	13.95	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:43.938  	0.512	14.15	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:44.070  	0.527	14.36	-4.0	0.03	-0.05	0.04	-0.075	Normal	
20200924 14:37:44.204  	0.548	14.65	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:44.303  	0.560	14.80	-4.0	0.03	-0.05	0.05	-0.075	Normal	
20200924 14:37:44.404  	0.577	15.02	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:44.536  	0.600	15.33	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:44.636  	0.621	15.58	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:44.770  	0.654	16.00	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:44.903  	0.690	16.43	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:45.036  	0.732	16.92	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:45.138  	0.760	17.24	-4.0	0.03	-0.05	0.05	-0.076	Normal	
20200924 14:37:45.269  	0.805	17.74	-4.0	0.04	-0.05	0.05	-0.076	Normal	
20200924 14:37:45.370  	0.837	18.09	-4.0	0.04	-0.05	0.05	-0.076	Normal	
20200924 14:37:45.470  	0.870	18.44	-4.0	0.04	-0.05	0.05	-0.076	Normal	
20200924 14:37:45.570  	0.901	18.77	-4.0	0.04	-0.04	0.05	-0.076	Normal	
20200924 14:37:45.671  	0.939	19.16	-4.0	0.04	-0.04	0.05	-0.076	Normal	
20200924 14:37:45.771  	0.977	19.54	-4.0	0.04	-0.04	0.05	-0.076	Normal	
20200924 14:37:45.873  	1.017	19.95	-4.0	0.04	-0.04	0.05	-0.075	Normal	
20200924 14:37:46.004  	1.070	20.46	-4.0	0.04	-0.04	0.05	-0.075	Normal	
20200924 14:37:46.136  	1.122	20.95	-4.0	0.04	-0.04	0.05	-0.075	Normal	
20200924 14:37:46.237  	1.164	21.33	-4.0	0.04	-0.03	0.05	-0.075	Normal	
20200924 14:37:46.339  	1.206	21.72	-4.0	0.04	-0.03	0.06	-0.074	Normal	
20200924 14:37:46.441  	1.247	22.08	-4.0	0.04	-0.03	0.06	-0.074	Normal	
20200924 14:37:46.571  	1.295	22.50	-4.0	0.04	-0.03	0.06	-0.074	Normal	
20200924 14:37:46.705  	1.350	22.98	-4.0	0.04	-0.03	0.06	-0.074	Normal	
20200924 14:37:46.836  	1.406	23.45	-4.0	0.04	-0.02	0.06	-0.074	Normal	
20200924 14:37:46.938  	1.446	23.78	-4.0	0.05	-0.02	0.06	-0.074	Normal	
20200924 14:37:47.072  	1.505	24.26	-4.0	0.05	-0.02	0.06	-0.074	Normal	
20200924 14:37:47.170  	1.552	24.64	-4.0	0.04	-0.02	0.06	-0.074	Normal	
20200924 14:37:47.272  	1.595	24.98	-4.0	0.05	-0.02	0.05	-0.074	Normal	
20200924 14:37:47.405  	1.656	25.45	-4.0	0.04	-0.01	0.06	-0.074	Normal	
20200924 14:37:47.506  	1.709	25.85	-4.0	0.04	-0.01	0.05	-0.074	Normal	
20200924 14:37:47.606  	1.763	26.26	-4.0	0.05	-0.01	0.06	-0.074	Normal	
20200924 14:37:47.706  	1.810	26.61	-4.0	0.04	-0.01	0.06	-0.074	Normal	
20200924 14:37:47.838  	1.874	27.08	-4.0	0.05	-0.01	0.06	-0.074	Normal	
20200924 14:37:47.938  	1.928	27.46	-4.0	0.04	-0.01	0.06	-0.074	Normal	
20200924 14:37:48.039  	1.982	27.84	-4.0	0.05	-0.01	0.06	-0.074	Normal	
20200924 14:37:48.139  	2.042	28.26	-4.0	0.05	-0.01	0.06	-0.074	Normal	
20200924 14:37:48.271  	2.107	28.71	-4.0	0.05	-0.01	0.06	-0.074	Normal	
20200924 14:37:48.372  	2.163	29.09	-4.0	0.05	-0.00	0.06	-0.074	Normal	
20200924 14:37:48.503  	2.241	29.61	-4.0	0.05	-0.00	0.06	-0.074	Normal	
20200924 14:37:48.604  	2.296	29.97	-4.0	0.05	0.00	0.06	-0.074	Normal	
20200924 14:37:48.705  	2.351	30.33	-4.0	0.04	0.00	0.06	-0.074	Normal	
20200924 14:37:48.836  	2.417	30.75	-4.0	0.05	0.00	0.06	-0.075	Normal	
20200924 14:37:48.939  	2.474	31.11	-4.0	0.05	0.01	0.06	-0.075	Normal	
20200924 14:37:49.040  	2.529	31.45	-4.0	0.05	0.01	0.06	-0.075	Normal	
20200924 14:37:49.170  	2.607	31.93	-4.1	0.05	0.00	0.06	-0.074	Normal	
20200924 14:37:49.271  	2.663	32.27	-4.0	0.05	0.00	0.06	-0.074	Normal	
20200924 14:37:49.403  	2.737	32.72	-4.0	0.06	0.01	0.07	-0.074	Normal	
20200924 14:37:49.503  	2.797	33.08	-4.0	0.06	0.01	0.07	-0.074	Normal	
20200924 14:37:49.632  	2.851	33.40	-4.0	0.06	0.01	0.07	-0.075	Normal	
20200924 14:37:49.762  	2.901	33.68	-4.0	0.06	0.01	0.07	-0.075	Normal	
20200924 14:37:49.863  	2.946	33.95	-4.0	0.06	0.02	0.08	-0.075	Normal	
20200924 14:37:49.995  	2.997	34.24	-4.0	0.04	0.02	0.07	-0.076	Normal	
20200924 14:37:50.124  	3.070	34.66	-4.0	0.05	0.02	0.07	-0.075	Normal	
20200924 14:37:50.223  	3.139	35.04	-4.0	0.06	0.02	0.08	-0.075	Normal	
20200924 14:37:50.356  	3.253	35.67	-4.0	0.05	0.02	0.07	-0.074	Normal	
20200924 14:37:50.456  	3.341	36.15	-4.0	0.06	0.02	0.08	-0.074	Normal	
20200924 14:37:50.589  	3.455	36.76	-4.0	0.07	0.03	0.09	-0.074	Normal	
20200924 14:37:50.722  	3.573	37.38	-4.0	0.07	0.03	0.08	-0.074	Normal	
20200924 14:37:50.854  	3.682	37.95	-4.0	0.08	0.04	0.09	-0.074	Normal	
20200924 14:37:50.954  	3.751	38.31	-4.0	0.08	0.05	0.09	-0.074	Normal	
20200924 14:37:51.086  	3.844	38.77	-4.0	0.08	0.06	0.10	-0.074	Normal	
20200924 14:37:51.187  	3.916	39.14	-4.0	0.08	0.03	0.10	-0.074	Normal	
20200924 14:37:51.287  	3.991	39.51	-4.0	0.08	0.03	0.09	-0.075	Normal	
20200924 14:37:51.419  	4.092	40.01	-4.0	0.08	0.03	0.09	-0.075	Normal	
20200924 14:37:51.521  	4.178	40.43	-4.0	0.08	0.03	0.09	-0.075	Normal	
20200924 14:37:51.621  	4.260	40.82	-4.0	0.08	0.03	0.09	-0.075	Normal	
20200924 14:37:51.722  	4.335	41.18	-4.0	0.08	0.03	0.09	-0.074	Normal	
20200924 14:37:51.853  	4.445	41.70	-4.0	0.07	0.03	0.08	-0.074	Normal	
20200924 14:37:51.954  	4.534	42.11	-4.0	0.07	0.02	0.08	-0.074	Normal	
20200924 14:37:52.053  	4.618	42.50	-4.0	0.07	0.02	0.08	-0.074	Normal	
20200924 14:37:52.154  	4.704	42.90	-4.0	0.07	0.02	0.08	-0.074	Normal	
20200924 14:37:52.287  	4.819	43.42	-4.0	0.07	0.02	0.08	-0.074	Normal	
20200924 14:37:52.419  	4.956	44.03	-4.0	0.07	0.01	0.08	-0.075	Normal	
20200924 14:37:52.518  	5.045	44.42	-4.0	0.07	0.01	0.08	-0.075	Normal	
20200924 14:37:52.619  	5.138	44.83	-4.0	0.07	0.01	0.08	-0.075	Normal	
20200924 14:37:52.720  	5.239	45.27	-4.0	0.07	0.01	0.08	-0.075	Normal	
20200924 14:37:52.821  	5.335	45.68	-4.0	0.07	0.01	0.08	-0.075	Normal	
20200924 14:37:52.953  	5.470	46.25	-4.0	0.07	0.00	0.08	-0.075	Normal	
20200924 14:37:53.053  	5.566	46.66	-4.0	0.07	0.00	0.08	-0.076	Normal	
20200924 14:37:53.154  	5.674	47.11	-4.0	0.07	0.00	0.08	-0.075	Normal	
20200924 14:37:53.255  	5.773	47.52	-4.0	0.07	0.00	0.08	-0.075	Normal	
20200924 14:37:53.355  	5.874	47.93	-4.0	0.07	0.00	0.08	-0.075	Normal	
20200924 14:37:53.456  	5.965	48.30	-4.0	0.07	-0.00	0.08	-0.075	Normal	
20200924 14:37:53.588  	6.099	48.84	-4.0	0.07	-0.00	0.08	-0.075	Normal	
20200924 14:37:53.688  	6.214	49.30	-4.0	0.06	-0.00	0.08	-0.075	Normal	
