Date:	9/24/2020
Time:	2:20 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:19:24.196  	25.033	98.95	8.0	0.78	-0.28	0.81	-0.033	Normal	
20200924 14:19:24.230  	25.040	98.97	8.0	0.80	-0.30	0.81	-0.033	Normal	
20200924 14:19:24.263  	25.073	99.03	8.0	0.80	-0.30	0.81	-0.033	Normal	
20200924 14:19:24.295  	25.081	99.05	8.0	0.78	-0.30	0.81	-0.033	Normal	
20200924 14:19:24.328  	25.120	99.12	8.0	0.77	-0.30	0.80	-0.033	Normal	
20200924 14:19:24.361  	25.099	99.08	8.0	0.78	-0.30	0.81	-0.032	Normal	
20200924 14:19:34.411  	25.624	100.11	10.0	1.04	-0.60	1.09	-0.032	Normal	
20200924 14:19:34.445  	25.601	100.07	10.0	1.04	-0.62	1.09	-0.032	Normal	
20200924 14:19:34.478  	25.605	100.08	10.0	1.04	-0.62	1.09	-0.032	Normal	
20200924 14:19:34.511  	25.635	100.14	10.0	1.04	-0.62	1.09	-0.032	Normal	
20200924 14:19:34.545  	25.630	100.12	10.0	1.04	-0.62	1.09	-0.032	Normal	
20200924 14:19:34.579  	25.630	100.13	10.0	1.04	-0.63	1.09	-0.032	Normal	
20200924 14:19:34.613  	25.599	100.06	10.0	1.03	-0.63	1.09	-0.032	Normal	
20200924 14:19:34.646  	25.610	100.09	10.0	1.03	-0.64	1.09	-0.032	Normal	
20200924 14:19:34.679  	25.577	100.02	10.0	1.03	-0.65	1.07	-0.032	Normal	
20200924 14:19:34.712  	25.537	99.94	10.0	1.03	-0.66	1.07	-0.032	Normal	
20200924 14:19:42.510  	25.660	100.18	11.8	1.20	-0.86	1.27	-0.033	Normal	
20200924 14:19:42.544  	25.636	100.14	11.8	1.20	-0.86	1.27	-0.033	Normal	
20200924 14:19:42.578  	25.697	100.26	11.8	1.22	-0.86	1.27	-0.033	Normal	
20200924 14:19:42.611  	25.640	100.15	11.8	1.22	-0.90	1.27	-0.033	Normal	
20200924 14:19:42.645  	25.677	100.22	11.8	1.20	-0.90	1.27	-0.033	Normal	
20200924 14:19:42.678  	25.616	100.10	11.8	1.20	-0.90	1.27	-0.033	Normal	
20200924 14:19:42.711  	25.616	100.10	11.8	1.20	-0.90	1.27	-0.033	Normal	
20200924 14:19:42.744  	25.589	100.05	11.8	1.20	-0.90	1.26	-0.033	Normal	
20200924 14:19:42.777  	25.525	99.92	11.9	1.20	-0.91	1.26	-0.033	Normal	
20200924 14:19:42.811  	25.574	100.02	11.9	1.20	-0.95	1.25	-0.033	Normal	
20200924 14:20:04.127  	25.443	99.76	13.8	1.41	-1.56	1.43	-0.034	Normal	
20200924 14:20:04.160  	25.406	99.69	13.9	1.41	-1.56	1.43	-0.034	Normal	
20200924 14:20:04.195  	25.377	99.63	13.8	1.41	-1.55	1.43	-0.034	Normal	
20200924 14:20:04.229  	25.395	99.67	13.8	1.41	-1.55	1.43	-0.034	Normal	
20200924 14:20:04.261  	25.434	99.74	13.9	1.41	-1.55	1.43	-0.034	Normal	
20200924 14:20:04.294  	25.459	99.79	13.9	1.41	-1.55	1.43	-0.034	Normal	
20200924 14:20:04.328  	25.417	99.71	13.9	1.41	-1.53	1.46	-0.034	Normal	
20200924 14:20:04.361  	25.407	99.69	13.9	1.41	-1.55	1.46	-0.034	Normal	
20200924 14:20:04.394  	25.409	99.69	13.9	1.42	-1.55	1.46	-0.034	Normal	
20200924 14:20:04.427  	25.412	99.70	13.9	1.41	-1.55	1.46	-0.034	Normal	
