Date:	9/24/2020
Time:	2:31 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:30:43.692  	0.799	17.68	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:43.793  	0.777	17.43	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:43.895  	0.755	17.18	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:43.996  	0.731	16.91	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:44.095  	0.710	16.67	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:44.229  	0.681	16.32	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:44.331  	0.654	15.99	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:44.462  	0.620	15.58	4.1	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:44.562  	0.600	15.32	4.1	0.04	-0.00	0.05	-0.061	Normal	
20200924 14:30:44.663  	0.581	15.07	4.1	0.04	-0.00	0.05	-0.062	Normal	
20200924 14:30:44.763  	0.561	14.82	4.1	0.04	-0.01	0.04	-0.062	Normal	
20200924 14:30:44.894  	0.542	14.56	4.1	0.04	-0.01	0.04	-0.061	Normal	
20200924 14:30:44.995  	0.532	14.42	4.1	0.04	-0.01	0.04	-0.061	Normal	
20200924 14:30:45.097  	0.518	14.24	4.1	0.04	-0.01	0.04	-0.061	Normal	
20200924 14:30:45.230  	0.501	13.99	4.1	0.04	-0.02	0.05	-0.061	Normal	
20200924 14:30:45.328  	0.495	13.91	4.1	0.04	-0.02	0.05	-0.061	Normal	
20200924 14:30:45.460  	0.493	13.88	4.1	0.04	-0.02	0.05	-0.061	Normal	
20200924 14:30:45.561  	0.490	13.85	4.1	0.04	-0.02	0.05	-0.061	Normal	
20200924 14:30:45.661  	0.491	13.86	4.1	0.04	-0.02	0.04	-0.062	Normal	
20200924 14:30:45.763  	0.498	13.96	4.1	0.04	-0.01	0.05	-0.061	Normal	
20200924 14:30:45.861  	0.506	14.06	4.1	0.04	-0.01	0.05	-0.061	Normal	
