Date:	9/24/2020
Time:	2:32 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:32:18.888  	0.370	12.03	6.0	0.03	0.01	0.05	-0.066	Normal	
20200924 14:32:18.991  	0.374	12.09	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:19.091  	0.378	12.16	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:19.222  	0.379	12.17	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:19.323  	0.382	12.22	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:19.426  	0.390	12.36	6.0	0.03	0.01	0.05	-0.064	Normal	
20200924 14:32:19.557  	0.400	12.52	6.0	0.03	0.01	0.05	-0.064	Normal	
20200924 14:32:19.689  	0.400	12.51	6.0	0.03	0.01	0.05	-0.064	Normal	
20200924 14:32:19.789  	0.399	12.49	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:19.889  	0.403	12.55	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:19.990  	0.402	12.54	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:20.091  	0.399	12.49	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:20.192  	0.401	12.53	6.0	0.03	0.01	0.04	-0.065	Normal	
20200924 14:32:20.322  	0.398	12.47	6.0	0.03	0.01	0.04	-0.065	Normal	
20200924 14:32:20.421  	0.400	12.51	6.0	0.03	0.01	0.04	-0.066	Normal	
20200924 14:32:20.520  	0.400	12.50	6.0	0.04	0.01	0.05	-0.066	Normal	
20200924 14:32:20.622  	0.402	12.55	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:20.754  	0.406	12.60	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:20.853  	0.406	12.61	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:20.955  	0.417	12.77	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:21.057  	0.434	13.04	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:21.157  	0.453	13.31	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:21.290  	0.476	13.65	6.0	0.04	0.02	0.05	-0.066	Normal	
20200924 14:32:21.389  	0.496	13.93	6.0	0.03	0.02	0.05	-0.065	Normal	
20200924 14:32:21.490  	0.520	14.26	6.0	0.03	0.02	0.05	-0.065	Normal	
20200924 14:32:21.591  	0.547	14.62	6.0	0.03	0.02	0.05	-0.065	Normal	
20200924 14:32:21.691  	0.572	14.95	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:21.792  	0.600	15.31	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:21.891  	0.626	15.65	6.0	0.03	0.01	0.05	-0.065	Normal	
20200924 14:32:22.023  	0.670	16.18	6.0	0.04	0.03	0.05	-0.065	Normal	
20200924 14:32:22.154  	0.702	16.57	6.0	0.04	0.03	0.05	-0.065	Normal	
