          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        35.0974,      0.0316219,     -0.0187811,      0.0557941,     -0.0331376,       0.314159,        0.31562,     -0.0330753
        34.6721,      0.0316219,     -0.0187811,      0.0571713,     -0.0339556,       0.314159,       0.315656,     -0.0338902
        34.1587,      0.0316219,     -0.0187811,      0.0589026,     -0.0349838,       0.314159,       0.315701,     -0.0349144
        33.7774,      0.0285317,    -0.00927051,      0.0543533,     -0.0176604,       0.314159,       0.315582,     -0.0176013
        33.4401,      0.0285317,    -0.00927051,      0.0554554,     -0.0180185,       0.314159,       0.315611,      -0.017957
        32.9707,      0.0285317,    -0.00927051,      0.0570454,     -0.0185352,       0.314159,       0.315653,     -0.0184701
        32.6481,      0.0285317,    -0.00927051,      0.0581786,     -0.0189034,       0.314159,       0.315682,     -0.0188357
        32.3401,      0.0254415,    0.000240059,      0.0528703,    0.000498869,       0.314159,       0.315543,    0.000554774
        31.9587,      0.0254415,    0.000240059,      0.0541395,    0.000510845,       0.314159,       0.315577,    0.000569467
        31.5334,      0.0254415,    0.000240059,      0.0556099,    0.000524719,       0.314159,       0.315615,    0.000586568
        31.2107,      0.0223514,     0.00975062,      0.0498708,      0.0217558,       0.314159,       0.315465,      0.0218055
        30.9321,      0.0223514,     0.00975062,      0.0507734,      0.0221496,       0.314159,       0.315488,      0.0222011
        30.6387,      0.0223514,     0.00975062,      0.0517503,      0.0225757,       0.314159,       0.315514,      0.0226293
        30.2721,      0.0223514,     0.00975062,      0.0530115,      0.0231259,       0.314159,       0.315547,      0.0231821
        29.9934,      0.0223514,     0.00975062,      0.0540012,      0.0235576,       0.314159,       0.315573,       0.023616
        29.8321,      0.0223514,     0.00975062,      0.0545868,      0.0238131,       0.314159,       0.315588,      0.0238727
        29.7881,      0.0223514,     0.00975062,      0.0547482,      0.0238835,       0.314159,       0.315592,      0.0239435
        29.8467,      0.0223514,     0.00975062,      0.0545332,      0.0237897,       0.314159,       0.315587,      0.0238492
        30.0814,      0.0318619,     0.00666046,      0.0765291,      0.0159977,       0.314159,       0.316163,      0.0161149
        30.4921,      0.0223514,     0.00975062,      0.0522493,      0.0227934,       0.314159,       0.315527,       0.022848
        30.9174,      0.0223514,     0.00975062,      0.0508216,      0.0221706,       0.314159,        0.31549,      0.0222222
        31.2987,      0.0223514,     0.00975062,      0.0495908,      0.0216336,       0.314159,       0.315457,      0.0216828
        31.7241,      0.0254415,    0.000240059,      0.0549435,    0.000518431,       0.314159,       0.315598,    0.000578806
        32.1201,      0.0349521,    -0.00285011,      0.0736327,    -0.00600426,       0.314159,       0.316087,    -0.00589582
        32.4867,      0.0349521,    -0.00285011,      0.0719799,    -0.00586948,       0.314159,       0.316044,    -0.00576586
        33.0001,      0.0380423,     -0.0123607,      0.0759254,     -0.0246696,       0.314159,       0.316147,     -0.0245544
        33.5867,      0.0380423,     -0.0123607,      0.0732962,     -0.0238154,       0.314159,       0.316078,     -0.0237079
        33.9974,      0.0380423,     -0.0123607,      0.0715361,     -0.0232435,       0.314159,       0.316032,     -0.0231411
        34.5107,      0.0411324,     -0.0218712,      0.0750631,     -0.0399131,       0.314159,       0.316124,     -0.0398004
        34.8921,      0.0411324,     -0.0218712,      0.0734313,     -0.0390454,       0.314159,       0.316082,     -0.0389376
        35.2441,      0.0316219,     -0.0187811,      0.0553306,     -0.0328624,       0.314159,       0.315608,     -0.0328011
        35.5961,       0.034712,     -0.0282916,      0.0595424,     -0.0485293,       0.314159,       0.315718,     -0.0484584
        36.1241,       0.034712,     -0.0282916,      0.0578145,     -0.0471211,       0.314159,       0.315673,     -0.0470542
        36.5787,       0.034712,     -0.0282916,      0.0563862,     -0.0459569,       0.314159,       0.315635,     -0.0458933
        37.0041,      0.0378022,     -0.0378022,      0.0600024,     -0.0600024,       0.314159,        0.31573,     -0.0599304
        37.5468,      0.0504029,     -0.0504029,      0.0777073,     -0.0777073,       0.314159,       0.316194,     -0.0775865
        38.0161,      0.0504029,     -0.0504029,      0.0758004,     -0.0758004,       0.314159,       0.316144,     -0.0756855
        38.5734,      0.0504029,     -0.0504029,      0.0736258,     -0.0736258,       0.314159,       0.316087,     -0.0735174
        39.2628,      0.0534931,     -0.0599135,      0.0754201,     -0.0844722,       0.314159,       0.316134,     -0.0843584
        39.7614,      0.0534931,     -0.0599135,      0.0735402,     -0.0823667,       0.314159,       0.316084,     -0.0822585
        40.2601,      0.0534931,     -0.0599135,      0.0717297,     -0.0803389,       0.314159,       0.316037,      -0.080236
        40.7441,      0.0470727,     -0.0663339,      0.0616298,     -0.0868474,       0.314159,       0.315773,     -0.0867714
        41.3161,      0.0470727,     -0.0663339,      0.0599351,     -0.0844593,       0.314159,       0.315728,     -0.0843875
        41.7561,      0.0501629,     -0.0758445,      0.0625307,     -0.0945442,       0.314159,       0.315796,      -0.094466
        42.2401,      0.0501629,     -0.0758445,      0.0611059,     -0.0923899,       0.314159,       0.315759,     -0.0923153
        42.9441,       0.053253,      -0.085355,      0.0627608,      -0.100594,       0.314159,       0.315802,      -0.100515
        43.4574,       0.053253,      -0.085355,      0.0612868,     -0.0982317,       0.314159,       0.315764,     -0.0981566
        44.0148,       0.053253,      -0.085355,      0.0597445,     -0.0957597,       0.314159,       0.315723,     -0.0956883
        44.4548,      0.0563432,     -0.0948656,      0.0619663,      -0.104333,       0.314159,       0.315781,      -0.104256
        44.9534,      0.0563432,     -0.0948656,      0.0605991,      -0.102031,       0.314159,       0.315746,      -0.101958
        45.3934,      0.0594334,      -0.104376,      0.0626895,      -0.110095,       0.314159,         0.3158,      -0.110016
        45.8921,      0.0594334,      -0.104376,      0.0613345,      -0.107715,       0.314159,       0.315765,       -0.10764
        46.4201,      0.0594334,      -0.104376,      0.0599472,      -0.105279,       0.314159,       0.315729,      -0.105207
        46.8601,      0.0625236,      -0.113887,      0.0618853,      -0.112724,       0.314159,       0.315779,      -0.112648
        47.4174,      0.0625236,      -0.113887,      0.0604391,       -0.11009,       0.314159,       0.315741,      -0.110017
        47.8574,      0.0656137,      -0.123397,      0.0622653,        -0.1171,       0.314159,       0.315789,      -0.117023
        48.5174,      0.0656137,      -0.123397,      0.0605828,      -0.113936,       0.314159,       0.315745,      -0.113862
        48.9134,      0.0687039,      -0.132908,      0.0624131,      -0.120738,       0.314159,       0.315793,       -0.12066
        49.5294,      0.0717941,      -0.142418,      0.0636081,       -0.12618,       0.314159,       0.315824,      -0.126099
        49.8814,      0.0717941,      -0.142418,      0.0627135,      -0.124405,       0.314159,       0.315801,      -0.124327
        50.3068,      0.0748842,      -0.151929,      0.0643114,      -0.130478,       0.314159,       0.315843,      -0.130396
        50.7321,      0.0748842,      -0.151929,      0.0632376,        -0.1283,       0.314159,       0.315815,       -0.12822
        51.3921,      0.0779744,       -0.16144,      0.0641667,      -0.132852,       0.314159,       0.315839,      -0.132769
        52.0081,      0.0810646,       -0.17095,      0.0651387,      -0.137366,       0.314159,       0.315864,      -0.137281
        52.6388,      0.0810646,       -0.17095,      0.0635872,      -0.134094,       0.314159,       0.315824,      -0.134013
        53.1521,      0.0810646,       -0.17095,      0.0623649,      -0.131516,       0.314159,       0.315792,      -0.131438
        53.7241,      0.0841547,      -0.180461,       0.063371,      -0.135892,       0.314159,       0.315818,      -0.135812
        54.4721,      0.0777343,      -0.186881,      0.0569397,      -0.136889,       0.314159,        0.31565,      -0.136824
        54.9121,      0.0777343,      -0.186881,      0.0560308,      -0.134704,       0.314159,       0.315626,      -0.134641
        55.3521,      0.0808245,      -0.196392,      0.0573357,      -0.139317,       0.314159,        0.31566,      -0.139252
        55.8068,      0.0808245,      -0.196392,      0.0564053,      -0.137056,       0.314159,       0.315636,      -0.136993
        56.3201,      0.0934252,      -0.208992,      0.0640159,      -0.143204,       0.314159,       0.315835,      -0.143122
        56.7601,      0.0934252,      -0.208992,      0.0630272,      -0.140992,       0.314159,       0.315809,      -0.140913
        57.2295,      0.0965154,      -0.218503,      0.0640483,         -0.145,       0.314159,       0.315836,      -0.144918
        57.8161,      0.0996056,      -0.228014,      0.0647644,      -0.148256,       0.314159,       0.315855,      -0.148172
        58.4761,      0.0996056,      -0.228014,      0.0633107,      -0.144929,       0.314159,       0.315817,      -0.144848
        58.9601,       0.102696,      -0.237524,      0.0642076,      -0.148505,       0.314159,        0.31584,      -0.148423
