Date:	9/24/2020
Time:	2:26 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:26:27.241  	12.343	69.48	-4.1	0.04	-0.04	0.04	-0.051	Normal	
20200924 14:26:27.343  	12.344	69.49	-4.1	0.04	-0.04	0.04	-0.052	Normal	
20200924 14:26:27.442  	12.320	69.42	-4.1	0.04	-0.03	0.04	-0.052	Normal	
20200924 14:26:27.575  	12.315	69.40	-4.1	0.04	-0.03	0.04	-0.051	Normal	
20200924 14:26:27.676  	12.306	69.38	-4.1	0.04	-0.03	0.04	-0.052	Normal	
20200924 14:26:27.774  	12.299	69.36	-4.1	0.04	-0.03	0.04	-0.052	Normal	
20200924 14:26:27.875  	12.297	69.35	-4.1	0.03	-0.04	0.04	-0.052	Normal	
20200924 14:26:27.975  	12.305	69.38	-3.9	0.03	-0.03	0.04	-0.052	Normal	
20200924 14:26:28.075  	12.304	69.37	-3.7	0.03	-0.03	0.04	-0.052	Normal	
20200924 14:26:28.177  	12.315	69.40	-3.7	0.04	-0.01	0.04	-0.052	Normal	
20200924 14:26:28.278  	12.352	69.51	-3.7	0.04	0.06	0.04	-0.052	Normal	
20200924 14:26:28.408  	12.359	69.53	-3.7	0.04	0.08	0.04	-0.052	Normal	
20200924 14:26:28.507  	12.375	69.57	-3.7	0.04	0.09	0.04	-0.052	Normal	
20200924 14:26:28.607  	12.381	69.59	-3.5	0.04	0.09	0.04	-0.052	Normal	
20200924 14:26:28.709  	12.374	69.57	-3.3	0.04	0.10	0.04	-0.052	Normal	
20200924 14:26:28.809  	12.364	69.54	-3.2	0.04	0.12	0.04	-0.052	Normal	
20200924 14:26:28.943  	12.297	69.35	-3.0	0.04	0.16	0.04	-0.052	Normal	
20200924 14:26:29.043  	12.294	69.34	-3.0	0.04	0.22	0.04	-0.052	Normal	
20200924 14:26:29.144  	12.305	69.38	-3.0	0.04	0.22	0.04	-0.052	Normal	
20200924 14:26:29.275  	12.289	69.33	-3.0	0.04	0.24	0.04	-0.052	Normal	
20200924 14:26:29.375  	12.316	69.41	-3.0	0.04	0.24	0.04	-0.052	Normal	
20200924 14:26:29.474  	12.368	69.55	-2.8	0.04	0.25	0.04	-0.052	Normal	
20200924 14:26:29.577  	12.419	69.70	-2.5	0.03	0.25	0.04	-0.052	Normal	
20200924 14:26:29.708  	12.504	69.94	-2.1	0.03	0.27	0.04	-0.052	Normal	
