Date:	9/10/2011
Time:	5:24 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20110910 17:12:46.431  	36.145	118.90	8.0	2.77	0.22	2.60	0.064	Normal	
20110910 17:12:46.564  	36.080	118.80	8.0	2.75	0.23	2.56	0.064	Normal	
20110910 17:12:46.664  	36.012	118.68	8.0	2.74	0.23	2.56	0.064	Normal	
20110910 17:12:46.763  	35.991	118.65	8.0	2.74	0.18	2.56	0.064	Normal	
20110910 17:12:46.865  	36.061	118.76	8.3	2.74	0.18	2.51	0.064	Normal	
20110910 17:12:46.998  	36.168	118.94	8.3	2.78	0.18	2.56	0.064	Normal	
20110910 17:12:51.750  	36.196	118.99	10.0	3.39	0.22	3.24	0.064	Normal	
20110910 17:12:51.853  	36.095	118.82	10.0	3.35	0.21	3.18	0.065	Normal	
20110910 17:12:51.981  	36.125	118.87	10.0	3.34	0.25	3.17	0.065	Normal	
20110910 17:12:52.080  	36.150	118.91	10.0	3.33	0.25	3.12	0.066	Normal	
20110910 17:12:52.213  	36.125	118.87	10.0	3.33	0.25	3.11	0.066	Normal	
20110910 17:12:52.315  	36.126	118.87	10.0	3.31	0.25	3.11	0.065	Normal	
20110910 17:12:52.415  	36.153	118.92	10.1	3.33	0.25	3.12	0.065	Normal	
20110910 17:12:52.516  	36.134	118.89	10.3	3.35	0.22	3.17	0.065	Normal	
20110910 17:12:52.615  	36.051	118.75	10.3	3.38	0.22	3.27	0.065	Normal	
20110910 17:12:52.714  	36.008	118.68	10.4	3.41	0.22	3.17	0.065	Normal	
20110910 17:12:57.947  	36.643	119.72	11.9	4.06	0.24	3.98	0.064	Normal	
20110910 17:12:58.048  	36.518	119.51	11.9	4.06	0.24	3.98	0.064	Normal	
20110910 17:12:58.149  	36.413	119.34	11.9	4.05	0.24	3.94	0.064	Normal	
20110910 17:12:58.281  	36.250	119.08	11.9	4.02	0.26	3.94	0.064	Normal	
20110910 17:12:58.381  	36.220	119.03	11.9	4.00	0.24	3.81	0.064	Normal	
20110910 17:12:58.481  	36.154	118.92	11.9	3.97	0.24	3.80	0.064	Normal	
20110910 17:12:58.581  	36.059	118.76	11.9	3.95	0.24	3.76	0.064	Normal	
20110910 17:12:58.681  	36.038	118.73	12.1	3.97	0.26	3.81	0.064	Normal	
20110910 17:12:58.783  	36.135	118.89	12.2	3.97	0.24	3.81	0.064	Normal	
20110910 17:12:58.916  	36.365	119.26	12.2	4.06	0.25	3.93	0.064	Normal	
20110910 17:13:09.109  	36.606	119.66	14.1	4.69	0.25	4.54	0.064	Normal	
20110910 17:13:09.210  	36.737	119.87	14.1	4.71	0.24	4.59	0.063	Normal	
20110910 17:13:09.342  	36.767	119.92	14.1	4.70	0.24	4.59	0.063	Normal	
20110910 17:13:09.471  	36.860	120.07	14.1	4.70	0.23	4.59	0.063	Normal	
20110910 17:13:09.601  	36.921	120.17	14.1	4.70	0.23	4.59	0.064	Normal	
20110910 17:13:09.699  	36.954	120.23	14.1	4.71	0.24	4.61	0.064	Normal	
20110910 17:13:09.831  	36.988	120.28	14.1	4.75	0.24	4.65	0.065	Normal	
20110910 17:13:09.930  	37.120	120.50	14.1	4.75	0.24	4.61	0.065	Normal	
20110910 17:13:10.031  	37.125	120.51	14.3	4.76	0.24	4.65	0.065	Normal	
20110910 17:13:10.131  	37.054	120.39	14.4	4.80	0.23	4.74	0.065	Normal	
20110910 17:13:15.133  	36.448	119.40	16.1	5.38	0.21	5.17	0.065	Normal	
20110910 17:13:15.234  	36.379	119.29	16.1	5.40	0.21	5.21	0.066	Normal	
20110910 17:13:15.367  	36.349	119.24	16.1	5.40	0.24	5.21	0.066	Normal	
20110910 17:13:15.497  	36.365	119.26	16.1	5.40	0.27	5.20	0.065	Normal	
20110910 17:13:15.598  	36.352	119.24	16.1	5.40	0.27	5.20	0.065	Normal	
20110910 17:13:15.698  	36.305	119.17	16.1	5.39	0.26	5.20	0.065	Normal	
20110910 17:13:15.799  	36.275	119.12	16.1	5.37	0.26	5.20	0.065	Normal	
20110910 17:13:15.898  	36.358	119.25	16.4	5.37	0.26	5.20	0.065	Normal	
20110910 17:13:16.031  	36.397	119.32	16.4	5.43	0.25	5.20	0.065	Normal	
20110910 17:13:16.132  	36.359	119.26	16.6	5.48	0.26	5.20	0.065	Normal	
20110910 17:13:21.014  	35.797	118.33	18.0	5.86	0.27	5.42	0.064	Normal	
20110910 17:13:21.117  	35.691	118.15	18.0	5.81	0.27	5.42	0.064	Normal	
20110910 17:13:21.248  	35.651	118.09	18.0	5.81	0.28	5.46	0.064	Normal	
20110910 17:13:21.348  	35.649	118.09	18.0	5.81	0.27	5.46	0.065	Normal	
20110910 17:13:21.447  	35.624	118.04	18.0	5.81	0.27	5.49	0.065	Normal	
20110910 17:13:21.548  	35.763	118.27	18.0	5.87	0.28	5.49	0.065	Normal	
20110910 17:13:21.648  	35.876	118.46	18.0	5.88	0.28	5.53	0.065	Normal	
20110910 17:13:21.748  	35.928	118.55	18.0	5.93	0.29	5.56	0.065	Normal	
20110910 17:13:21.848  	35.944	118.57	18.0	5.94	0.29	5.64	0.064	Normal	
