          V_ref,             LF,             DF,             CL,             Cd,              A,         A(Cor),        CD(Cor)
           ft/s,          (lbf),          (lbf),               ,               ,            Rad,            Rad
        35.6547,      0.0398633,     -0.0467196,      0.0681537,     -0.0798757,       0.279253,       0.281037,     -0.0797828
        35.2001,      0.0398633,     -0.0467196,      0.0699257,     -0.0819525,       0.279253,       0.281083,     -0.0818547
        34.9214,       0.037107,      -0.037107,      0.0661337,     -0.0661337,       0.279253,       0.280984,     -0.0660462
        34.5987,      0.0343506,     -0.0274944,      0.0623683,     -0.0499199,       0.279253,       0.280885,     -0.0498421
        34.2907,      0.0343506,     -0.0274944,      0.0634938,     -0.0508207,       0.279253,       0.280915,       -0.05074
        33.9387,      0.0343506,     -0.0274944,      0.0648177,     -0.0518803,       0.279253,        0.28095,     -0.0517963
        33.6014,      0.0343506,     -0.0274944,      0.0661256,     -0.0529272,       0.279253,       0.280984,     -0.0528398
        33.3227,      0.0343506,     -0.0274944,      0.0672362,     -0.0538162,       0.279253,       0.281013,     -0.0537257
        32.9561,      0.0315942,     -0.0178817,      0.0632248,      -0.035784,       0.279253,       0.280908,     -0.0357041
        32.5894,      0.0315942,     -0.0178817,      0.0646555,     -0.0365938,       0.279253,       0.280945,     -0.0365102
        32.1201,      0.0288379,    -0.00826912,       0.060752,     -0.0174203,       0.279253,       0.280843,     -0.0173465
        31.7974,      0.0288379,    -0.00826912,      0.0619912,     -0.0177757,       0.279253,       0.280876,     -0.0176988
        31.5187,      0.0288379,    -0.00826912,      0.0630922,     -0.0180914,       0.279253,       0.280904,     -0.0180118
        31.1521,      0.0288379,    -0.00826912,      0.0645862,     -0.0185198,       0.279253,       0.280943,     -0.0184364
        30.8587,      0.0288379,    -0.00826912,      0.0658199,     -0.0188735,       0.279253,       0.280976,     -0.0187869
        30.6241,      0.0288379,    -0.00826912,      0.0668325,     -0.0191639,       0.279253,       0.281002,     -0.0190746
        30.4627,      0.0288379,    -0.00826912,      0.0675423,     -0.0193674,       0.279253,       0.281021,     -0.0192762
        30.4187,      0.0260815,      0.0013435,      0.0612633,     0.00315577,       0.279253,       0.280856,     0.00323084
        30.5361,      0.0260815,      0.0013435,      0.0607934,     0.00313157,       0.279253,       0.280844,     0.00320548
        30.7414,      0.0260815,      0.0013435,       0.059984,     0.00308987,       0.279253,       0.280823,     0.00316184
        31.0054,      0.0260815,      0.0013435,      0.0589669,     0.00303748,       0.279253,       0.280796,     0.00310702
        31.3134,      0.0260815,      0.0013435,      0.0578126,     0.00297802,       0.279253,       0.280766,     0.00304487
        31.6947,      0.0260815,      0.0013435,      0.0564298,     0.00290679,       0.279253,        0.28073,     0.00297048
        32.2521,      0.0260815,      0.0013435,      0.0544964,      0.0028072,       0.279253,       0.280679,     0.00286659
        32.6921,      0.0260815,      0.0013435,      0.0530393,     0.00273214,       0.279253,       0.280641,      0.0027884
        33.0734,      0.0260815,      0.0013435,      0.0518233,      0.0026695,       0.279253,       0.280609,     0.00272321
        33.4841,      0.0288379,    -0.00826912,      0.0559032,       -0.01603,       0.279253,       0.280716,     -0.0159675
        33.9534,      0.0288379,    -0.00826912,      0.0543684,     -0.0155899,       0.279253,       0.280676,     -0.0155308
        34.3054,      0.0288379,    -0.00826912,      0.0532584,     -0.0152716,       0.279253,       0.280647,     -0.0152149
        34.6721,      0.0288379,    -0.00826912,      0.0521379,     -0.0149503,       0.279253,       0.280618,     -0.0148959
        35.0534,      0.0288379,    -0.00826912,      0.0510097,     -0.0146268,       0.279253,       0.280588,     -0.0145748
        35.4201,      0.0315942,     -0.0178817,      0.0547343,     -0.0309786,       0.279253,       0.280686,     -0.0309186
        36.0361,      0.0315942,     -0.0178817,       0.052879,     -0.0299285,       0.279253,       0.280637,     -0.0298726
        36.4467,      0.0315942,     -0.0178817,      0.0516941,     -0.0292579,       0.279253,       0.280606,     -0.0292044
        36.8428,      0.0315942,     -0.0178817,      0.0505888,     -0.0286323,       0.279253,       0.280577,     -0.0285811
        37.5321,      0.0343506,     -0.0274944,      0.0530004,     -0.0424218,       0.279253,        0.28064,     -0.0423656
        38.0601,      0.0343506,     -0.0274944,      0.0515401,     -0.0412529,       0.279253,       0.280602,     -0.0411998
        38.5881,      0.0343506,     -0.0274944,      0.0501393,     -0.0401317,       0.279253,       0.280565,     -0.0400814
        39.0721,       0.037107,      -0.037107,      0.0528291,     -0.0528291,       0.279253,       0.280636,     -0.0527732
        39.5708,       0.037107,      -0.037107,       0.051506,      -0.051506,       0.279253,       0.280601,     -0.0514529
        40.0548,       0.037107,      -0.037107,      0.0502687,     -0.0502687,       0.279253,       0.280569,     -0.0502182
        40.4801,      0.0398633,     -0.0467196,      0.0528739,     -0.0619679,       0.279253,       0.280637,      -0.061912
        40.8468,      0.0398633,     -0.0467196,      0.0519289,     -0.0608603,       0.279253,       0.280612,     -0.0608064
        41.5068,      0.0398633,     -0.0467196,      0.0502906,     -0.0589402,       0.279253,       0.280569,     -0.0588897
        41.9321,      0.0426197,     -0.0563322,      0.0526827,     -0.0696329,       0.279253,       0.280632,     -0.0695774
        42.3721,      0.0426197,     -0.0563322,      0.0515942,     -0.0681942,       0.279253,       0.280603,      -0.068141
        42.8561,      0.0452898,     -0.0659233,      0.0535952,     -0.0780125,       0.277507,        0.27891,      -0.077955
        43.3254,      0.0452898,     -0.0659233,      0.0524403,     -0.0763314,       0.277507,        0.27888,     -0.0762764
        43.7654,      0.0481325,     -0.0755574,      0.0546168,     -0.0857364,       0.279253,       0.280682,     -0.0856768
        44.2054,      0.0481325,     -0.0755574,      0.0535349,     -0.0840382,       0.279253,       0.280654,     -0.0839808
        44.8068,      0.0508888,     -0.0851701,      0.0550917,     -0.0922041,       0.279253,       0.280695,     -0.0921434
        45.3201,       0.050769,     -0.0851581,      0.0537239,     -0.0901145,       0.277507,       0.278914,     -0.0900568
        45.7894,      0.0536452,     -0.0947827,      0.0556097,     -0.0982537,       0.279253,       0.280708,     -0.0981919
        46.5374,      0.0564016,      -0.104395,      0.0566027,      -0.104767,       0.279253,       0.280734,      -0.104703
        47.0654,      0.0564016,      -0.104395,      0.0553398,       -0.10243,       0.279253,       0.280701,      -0.102369
        47.5348,       0.059158,      -0.114008,      0.0569037,      -0.109664,       0.279253,       0.280742,      -0.109599
        48.0334,       0.059158,      -0.114008,      0.0557284,      -0.107398,       0.279253,       0.280712,      -0.107336
        48.6054,       0.059158,      -0.114008,      0.0544244,      -0.104886,       0.279253,       0.280677,      -0.104826
        49.0601,      0.0619143,      -0.123621,      0.0559094,      -0.111631,       0.279253,       0.280716,      -0.111568
        49.6614,      0.0646707,      -0.133233,      0.0569927,      -0.117415,       0.279253,       0.280745,       -0.11735
        50.0868,      0.0646707,      -0.133233,      0.0560289,      -0.115429,       0.279253,       0.280719,      -0.115367
        50.6001,      0.0646707,      -0.133233,      0.0548978,      -0.113099,       0.279253,        0.28069,      -0.113039
        51.0548,      0.0674271,      -0.142846,      0.0562227,      -0.119109,       0.279253,       0.280724,      -0.119046
        51.5095,      0.0672065,      -0.142863,      0.0550539,      -0.117029,       0.277507,       0.278949,      -0.116969
        52.0668,      0.0699461,       -0.15248,       0.056078,      -0.122248,       0.277507,       0.278975,      -0.122185
        52.7268,      0.0699461,       -0.15248,      0.0546829,      -0.119207,       0.277507,       0.278939,      -0.119147
        53.2988,      0.0726857,      -0.162097,      0.0556115,       -0.12402,       0.277507,       0.278963,      -0.123958
        53.7828,      0.0726857,      -0.162097,      0.0546151,      -0.121798,       0.277507,       0.278937,      -0.121738
        54.4868,      0.0754253,      -0.171715,      0.0552186,      -0.125712,       0.277507,       0.278953,      -0.125651
        54.9708,      0.0784526,      -0.181296,      0.0564279,      -0.130399,       0.279253,        0.28073,      -0.130336
        55.3228,      0.0905219,      -0.193689,       0.064283,      -0.137546,       0.277507,        0.27919,      -0.137463
        55.7628,      0.0905219,      -0.193689,      0.0632725,      -0.135384,       0.277507,       0.279164,      -0.135304
        56.2908,      0.0932615,      -0.203307,      0.0639703,      -0.139453,       0.277507,       0.279182,      -0.139371
        56.8188,      0.0932615,      -0.203307,      0.0627869,      -0.136873,       0.277507,       0.279151,      -0.136794
        57.5228,      0.0960011,      -0.212924,      0.0630589,      -0.139861,       0.277507,       0.279158,      -0.139781
        58.3001,      0.0987407,      -0.222541,      0.0631404,      -0.142306,       0.277507,        0.27916,      -0.142226
        58.9015,      0.0987407,      -0.222541,      0.0618578,      -0.139415,       0.277507,       0.279127,      -0.139338
        59.5321,        0.10148,      -0.232159,      0.0622342,      -0.142375,       0.277507,       0.279137,      -0.142297
        60.0308,        0.10422,      -0.241776,      0.0628569,       -0.14582,       0.277507,       0.279153,      -0.145741
        60.6175,       0.114216,      -0.244485,      0.0675588,      -0.144613,       0.279253,       0.281021,      -0.144521
        60.9841,        0.10736,      -0.251341,       0.062742,      -0.146886,       0.279253,       0.280895,      -0.146807
        61.6735,       0.119729,       -0.26371,      0.0684152,      -0.150689,       0.279253,       0.281044,      -0.150595
        62.1135,       0.119729,       -0.26371,      0.0674493,      -0.148561,       0.279253,       0.281018,       -0.14847
        62.6855,       0.115629,      -0.280179,      0.0639563,      -0.154972,       0.279253,       0.280927,       -0.15489
        63.1841,       0.125242,      -0.282935,       0.068184,      -0.154036,       0.279253,       0.281038,      -0.153943
        63.7268,       0.127998,      -0.292548,      0.0685029,      -0.156568,       0.279253,       0.281046,      -0.156474
        64.5481,       0.130754,       -0.30216,      0.0682086,      -0.157623,       0.279253,       0.281038,       -0.15753
        65.0028,       0.130754,       -0.30216,      0.0672577,      -0.155426,       0.279253,       0.281013,      -0.155336
        65.5161,       0.143123,      -0.314529,       0.072471,      -0.159263,       0.279253,        0.28115,      -0.159158
        66.0148,        0.14588,      -0.324142,      0.0727549,       -0.16166,       0.279253,       0.281157,      -0.161554
        66.5428,        0.14588,      -0.324142,      0.0716049,      -0.159105,       0.279253,       0.281127,      -0.159002
        67.2615,       0.148636,      -0.333755,      0.0714072,      -0.160341,       0.279253,       0.281122,      -0.160239
        67.6868,       0.158249,      -0.336511,      0.0750727,       -0.15964,       0.279253,       0.281218,      -0.159527
        67.9948,       0.151392,      -0.343367,       0.071171,       -0.16142,       0.279253,       0.281116,      -0.161319
        68.6402,       0.163761,      -0.355736,       0.075545,      -0.164105,       0.279253,        0.28123,      -0.163991
        69.3588,       0.173374,      -0.358493,      0.0783305,      -0.161967,       0.279253,       0.281303,      -0.161845
        69.9162,        0.17613,      -0.368105,      0.0783123,      -0.163669,       0.279253,       0.281303,      -0.163547
        70.6202,       0.181643,       -0.38733,      0.0791612,      -0.168801,       0.279253,       0.281325,      -0.168676
        71.3095,       0.194012,      -0.399699,      0.0829248,       -0.17084,       0.279253,       0.281424,      -0.170702
        71.9695,       0.194012,      -0.399699,      0.0814109,      -0.167721,       0.279253,       0.281384,      -0.167588
        72.4095,       0.194012,      -0.399699,      0.0804245,      -0.165689,       0.279253,       0.281358,      -0.165559
        72.9962,       0.196768,      -0.409312,      0.0802613,      -0.166957,       0.279253,       0.281354,      -0.166828
        73.4655,        0.21875,      -0.424437,      0.0880911,      -0.170922,       0.279253,       0.281559,      -0.170767
        73.8762,        0.21875,      -0.424437,      0.0871144,      -0.169027,       0.279253,       0.281533,      -0.168875
        74.3015,       0.221506,       -0.43405,      0.0872051,      -0.170882,       0.279253,       0.281536,      -0.170729
        74.7562,       0.221506,       -0.43405,      0.0861475,      -0.168809,       0.279253,       0.281508,      -0.168661
        75.0935,       0.224263,      -0.443663,      0.0864377,      -0.171001,       0.279253,       0.281516,      -0.170852
        75.5628,       0.236632,      -0.456032,      0.0900756,      -0.173592,       0.279253,       0.281611,      -0.173429
        75.8122,       0.246244,      -0.458788,      0.0931192,      -0.173494,       0.279253,        0.28169,      -0.173321
        76.2962,       0.239388,      -0.465644,      0.0893815,       -0.17386,       0.279253,       0.281593,        -0.1737
        76.6775,       0.251757,      -0.478013,      0.0930672,      -0.176707,       0.279253,       0.281689,      -0.176534
        77.0735,       0.254514,      -0.487626,      0.0931218,      -0.178413,       0.279253,       0.281691,       -0.17824
        77.6015,       0.244901,      -0.484869,      0.0883895,      -0.174999,       0.279253,       0.281567,      -0.174843
        78.3495,       0.244901,      -0.484869,      0.0867099,      -0.171673,       0.279253,       0.281523,      -0.171523
        78.8628,        0.25317,      -0.513707,      0.0884745,      -0.179524,       0.279253,       0.281569,      -0.179367
        79.3322,        0.25317,      -0.513707,      0.0874307,      -0.177406,       0.279253,       0.281542,      -0.177253
        79.9335,        0.25317,      -0.513707,      0.0861202,      -0.174747,       0.279253,       0.281507,      -0.174598
        80.6228,       0.275152,      -0.528833,      0.0920039,      -0.176829,       0.279253,       0.281661,      -0.176659
        81.1362,       0.283421,      -0.557671,      0.0935736,      -0.184119,       0.279253,       0.281702,      -0.183944
        81.6495,       0.242214,      -0.537032,      0.0789664,      -0.175083,       0.279253,        0.28132,      -0.174958
        82.0749,       0.273808,      -0.554914,      0.0883439,      -0.179043,       0.279253,       0.281565,      -0.178886
        82.6615,       0.247727,      -0.556258,      0.0787983,      -0.176937,       0.279253,       0.281316,      -0.176813
        83.5562,       0.255996,      -0.585096,      0.0796941,      -0.182146,       0.279253,       0.281339,      -0.182019
        84.1135,       0.255996,      -0.585096,      0.0786415,       -0.17974,       0.279253,       0.281311,      -0.179617
        84.8615,       0.246383,      -0.582339,      0.0743601,      -0.175754,       0.279253,       0.281199,      -0.175643
        85.4042,       0.258752,      -0.594708,      0.0771039,      -0.177213,       0.279253,       0.281271,      -0.177094
        86.2255,       0.264265,      -0.613933,      0.0772535,      -0.179473,       0.279253,       0.281275,      -0.179354
        86.8855,       0.260165,      -0.630402,      0.0749039,      -0.181499,       0.279253,       0.281214,      -0.181386
        87.0029,       0.250552,      -0.627646,      0.0719419,      -0.180218,       0.279253,       0.281136,      -0.180114
        87.2082,       0.247796,      -0.618033,      0.0708158,      -0.176623,       0.279253,       0.281107,      -0.176523
        87.1789,        0.24504,      -0.608421,      0.0700752,      -0.173993,       0.279253,       0.281087,      -0.173895
        87.1789,       0.235427,      -0.605664,      0.0673263,      -0.173205,       0.279253,       0.281015,      -0.173114
        87.0469,       0.229914,      -0.586439,      0.0659493,      -0.168216,       0.279253,       0.280979,      -0.168129
        86.9882,       0.232671,      -0.596052,        0.06683,      -0.171204,       0.279253,       0.281002,      -0.171115
        86.9149,       0.223058,      -0.593295,      0.0641772,        -0.1707,       0.279253,       0.280933,      -0.170618
        86.8269,       0.223058,      -0.593295,      0.0643073,      -0.171046,       0.279253,       0.280936,      -0.170963
        86.7389,       0.207933,      -0.571314,      0.0600684,      -0.165043,       0.279253,       0.280825,      -0.164971
