Date:	9/24/2020
Time:	2:33 PM
Summary Notes:	




Data Timestamp        	q	V_ref	Alpha	NF/SF	AF/AF2	PM/YM	P	Orientation	Notes 
[yyyymmdd hh:mm:ss.sss]	[psf]	[mph]	[deg]	[lbf]	[lbf]	[in-lbf]	[inH2O]		
20200924 14:33:11.655  	0.319	11.17	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:11.758  	0.319	11.17	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:11.857  	0.319	11.17	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:11.959  	0.320	11.19	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:12.060  	0.323	11.24	8.0	0.03	0.03	0.05	-0.068	Normal	
20200924 14:33:12.161  	0.331	11.37	8.0	0.03	0.03	0.05	-0.068	Normal	
20200924 14:33:12.260  	0.336	11.46	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:12.362  	0.344	11.60	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:12.461  	0.352	11.74	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:12.563  	0.358	11.84	8.0	0.03	0.03	0.04	-0.066	Normal	
20200924 14:33:12.663  	0.365	11.94	8.0	0.03	0.03	0.04	-0.066	Normal	
20200924 14:33:12.796  	0.367	11.99	8.0	0.03	0.03	0.04	-0.065	Normal	
20200924 14:33:12.898  	0.371	12.04	8.0	0.03	0.03	0.04	-0.065	Normal	
20200924 14:33:12.999  	0.373	12.08	8.0	0.03	0.03	0.04	-0.065	Normal	
20200924 14:33:13.099  	0.372	12.07	8.0	0.03	0.03	0.04	-0.065	Normal	
20200924 14:33:13.198  	0.372	12.07	8.0	0.03	0.03	0.04	-0.065	Normal	
20200924 14:33:13.329  	0.372	12.06	8.0	0.03	0.04	0.04	-0.065	Normal	
20200924 14:33:13.460  	0.368	11.99	8.0	0.03	0.04	0.04	-0.066	Normal	
20200924 14:33:13.590  	0.362	11.91	8.0	0.03	0.04	0.04	-0.066	Normal	
20200924 14:33:13.689  	0.359	11.85	8.0	0.03	0.04	0.04	-0.067	Normal	
20200924 14:33:13.790  	0.357	11.82	8.0	0.03	0.04	0.05	-0.067	Normal	
20200924 14:33:13.892  	0.358	11.83	8.0	0.03	0.04	0.05	-0.068	Normal	
20200924 14:33:13.991  	0.360	11.87	8.0	0.04	0.04	0.05	-0.068	Normal	
20200924 14:33:14.094  	0.372	12.06	8.0	0.04	0.04	0.05	-0.068	Normal	
20200924 14:33:14.226  	0.392	12.38	8.0	0.04	0.04	0.05	-0.068	Normal	
20200924 14:33:14.328  	0.412	12.70	8.0	0.04	0.04	0.05	-0.068	Normal	
20200924 14:33:14.428  	0.435	13.05	8.0	0.03	0.04	0.05	-0.068	Normal	
20200924 14:33:14.560  	0.467	13.51	8.0	0.03	0.04	0.05	-0.067	Normal	
20200924 14:33:14.660  	0.492	13.87	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:14.762  	0.518	14.24	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:14.860  	0.540	14.54	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:14.990  	0.566	14.88	8.0	0.03	0.03	0.05	-0.067	Normal	
20200924 14:33:15.091  	0.585	15.13	8.0	0.03	0.04	0.05	-0.067	Normal	
20200924 14:33:15.193  	0.604	15.37	8.0	0.03	0.04	0.05	-0.067	Normal	
20200924 14:33:15.326  	0.637	15.79	8.0	0.03	0.04	0.05	-0.067	Normal	
20200924 14:33:15.427  	0.660	16.07	8.0	0.04	0.05	0.05	-0.067	Normal	
20200924 14:33:15.529  	0.690	16.43	8.0	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:15.660  	0.736	16.97	8.0	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:15.760  	0.769	17.34	8.0	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:15.892  	0.807	17.76	8.0	0.03	0.04	0.04	-0.067	Normal	
20200924 14:33:16.022  	0.840	18.13	8.0	0.03	0.04	0.04	-0.067	Normal	
20200924 14:33:16.123  	0.864	18.38	8.0	0.04	0.04	0.05	-0.067	Normal	
20200924 14:33:16.222  	0.884	18.60	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.324  	0.909	18.86	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.456  	0.945	19.23	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.557  	0.979	19.56	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.656  	1.014	19.92	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.756  	1.057	20.34	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.888  	1.115	20.88	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:16.989  	1.149	21.20	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:17.090  	1.186	21.54	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:17.192  	1.227	21.91	8.0	0.04	0.03	0.05	-0.068	Normal	
20200924 14:33:17.292  	1.266	22.26	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:17.420  	1.306	22.61	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:17.521  	1.339	22.88	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:17.622  	1.379	23.22	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:17.722  	1.420	23.57	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:17.822  	1.462	23.91	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:17.923  	1.503	24.25	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:18.026  	1.550	24.63	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:18.158  	1.612	25.11	8.0	0.03	0.02	0.04	-0.068	Normal	
20200924 14:33:18.289  	1.670	25.56	8.0	0.04	0.02	0.04	-0.068	Normal	
20200924 14:33:18.422  	1.731	26.02	8.0	0.04	0.02	0.04	-0.068	Normal	
20200924 14:33:18.524  	1.779	26.38	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:18.622  	1.827	26.73	8.0	0.04	0.02	0.05	-0.068	Normal	
20200924 14:33:18.723  	1.867	27.02	8.0	0.04	0.01	0.05	-0.069	Normal	
20200924 14:33:18.823  	1.918	27.39	8.0	0.04	0.01	0.05	-0.069	Normal	
20200924 14:33:18.955  	1.984	27.85	8.0	0.04	0.01	0.05	-0.069	Normal	
20200924 14:33:19.055  	2.031	28.19	8.0	0.04	0.01	0.05	-0.069	Normal	
20200924 14:33:19.188  	2.091	28.60	8.0	0.04	0.01	0.05	-0.069	Normal	
20200924 14:33:19.288  	2.141	28.94	8.0	0.05	0.01	0.06	-0.069	Normal	
20200924 14:33:19.391  	2.189	29.26	8.0	0.05	0.00	0.06	-0.069	Normal	
20200924 14:33:19.525  	2.251	29.67	8.0	0.05	0.00	0.06	-0.069	Normal	
20200924 14:33:19.655  	2.317	30.10	8.0	0.05	0.00	0.06	-0.069	Normal	
20200924 14:33:19.755  	2.365	30.41	8.0	0.05	-0.00	0.06	-0.069	Normal	
20200924 14:33:19.855  	2.417	30.75	8.0	0.05	-0.00	0.06	-0.069	Normal	
20200924 14:33:19.955  	2.471	31.09	8.0	0.05	-0.00	0.06	-0.069	Normal	
20200924 14:33:20.055  	2.533	31.48	8.0	0.05	-0.00	0.06	-0.069	Normal	
20200924 14:33:20.156  	2.593	31.84	8.0	0.05	-0.01	0.06	-0.069	Normal	
20200924 14:33:20.255  	2.662	32.27	8.0	0.06	-0.01	0.06	-0.069	Normal	
20200924 14:33:20.355  	2.726	32.65	8.0	0.06	-0.01	0.07	-0.069	Normal	
20200924 14:33:20.457  	2.797	33.08	8.0	0.06	-0.01	0.07	-0.069	Normal	
20200924 14:33:20.588  	2.894	33.65	8.0	0.06	-0.01	0.07	-0.069	Normal	
20200924 14:33:20.689  	2.967	34.06	8.0	0.06	-0.02	0.07	-0.069	Normal	
20200924 14:33:20.822  	3.057	34.58	8.0	0.06	-0.02	0.07	-0.069	Normal	
20200924 14:33:20.922  	3.121	34.94	8.0	0.06	-0.02	0.07	-0.069	Normal	
20200924 14:33:21.024  	3.197	35.36	8.0	0.06	-0.02	0.07	-0.068	Normal	
20200924 14:33:21.155  	3.286	35.85	8.0	0.06	-0.02	0.07	-0.068	Normal	
20200924 14:33:21.256  	3.349	36.19	8.0	0.06	-0.02	0.07	-0.068	Normal	
20200924 14:33:21.355  	3.414	36.54	8.0	0.06	-0.02	0.07	-0.068	Normal	
20200924 14:33:21.455  	3.474	36.86	8.0	0.06	-0.03	0.07	-0.068	Normal	
20200924 14:33:21.555  	3.548	37.25	8.0	0.07	-0.03	0.07	-0.068	Normal	
20200924 14:33:21.655  	3.622	37.64	8.0	0.07	-0.03	0.07	-0.068	Normal	
20200924 14:33:21.755  	3.692	38.00	8.0	0.07	-0.03	0.07	-0.068	Normal	
20200924 14:33:21.885  	3.807	38.59	8.0	0.07	-0.04	0.07	-0.068	Normal	
20200924 14:33:21.986  	3.878	38.95	8.0	0.07	-0.04	0.07	-0.068	Normal	
